restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
11 TO 11 POT FOOD,Tomato Soup,,60,,,,10,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,6,1
11 TO 11 POT FOOD,Kozhi Malli Charru,,80,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,6,2
11 TO 11 POT FOOD,Chicken Manchow Soup,,90,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,5
11 TO 11 POT FOOD,Hot & Sour Chicken Soup,,90,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,6
11 TO 11 POT FOOD,Mushroom Soup,,70,,,,10,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Hot & Sour Veg Soup,,80,,,,10,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Veg Mancho Soup,,80,,,,10,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Veg Clear Soup,,60,,,,10,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Nattukozhi Soup,,90,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Mutton Soup,,100,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Crab Soup,,100,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,10,13
11 TO 11 POT FOOD,Pepper Lolly Pop (5 Nos),,250,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,3
11 TO 11 POT FOOD,Garlic Lolly Pop (5 Nos),,250,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,4
11 TO 11 POT FOOD,Chicken Tikka,,200,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,5
11 TO 11 POT FOOD,Malai Tikka,,200,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,6
11 TO 11 POT FOOD,Kaadai Roast,,160,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,7
11 TO 11 POT FOOD,Kaadai 65,,160,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,8
11 TO 11 POT FOOD,Prawn 65,,180,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,9
11 TO 11 POT FOOD,Fish Finger,,200,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,9
11 TO 11 POT FOOD,Fish Manchurian (Bone less),,180,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,10
11 TO 11 POT FOOD,Chilly Fish,,180,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,11
11 TO 11 POT FOOD,Garlic Fish,,180,,,,10,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non-Veg Starters,,0,,6,12
