restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DOSA 360,Plain Dosa,,40,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,1
DOSA 360,Onion Dosa,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,8",2,,Dosas,,0,,1,2
DOSA 360,Masala Dosa,,80,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,9",3,,Dosas,,0,,1,3
DOSA 360,Butter Plain Dosa,,60,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,4
DOSA 360,Cheese Plain Dosa,,60,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,5
DOSA 360,Plain Uthappam,,50,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,6
DOSA 360,Onion Uthappam,,60,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,7
DOSA 360,Butter Uthappam,,60,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,8
DOSA 360,Butter Onion Uthappam,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,9
DOSA 360,Ghee Roast,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,10
DOSA 360,Podi Dosa,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,11
DOSA 360,Rava Dosa,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,12
DOSA 360,Rava Butter Dosa,,80,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,13
DOSA 360,Rava Masala Dosa,,85,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,14
DOSA 360,Onion Rava Dosa,,75,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,15
DOSA 360,Onion Rava Masala Dosa,,90,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,16
DOSA 360,Onion Rava Butter Dosa,,80,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,1,17
DOSA 360,Mix Veg Chilli,,90,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Chaats,,0,,2,1
DOSA 360,Pav Bhaji Chilli,,105,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Chaats,,0,,2,2
DOSA 360,Aloo Dry Chilli,,90,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Chaats,,0,,2,3
DOSA 360,Tawa Chicken Biriyani,,160,,,,10,0,Non Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,1
DOSA 360,2 Pcs Crispy Chicken (Wings),,130,,,,10,0,Non Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,2
DOSA 360,2 Pcs Taiyur Vadai,,40,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vadai,,0,,4,1
DOSA 360,2 Pcs Sambar Vadai,,40,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vadai,,0,,4,2
DOSA 360,2 Pcs Rasa Vadai,,40,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vadai,,0,,4,3
DOSA 360,Oreo,,90,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream,,0,,5,1
DOSA 360,Bzeda,,90,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream,,0,,5,2
DOSA 360,Browine,,90,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream,,0,,5,3
DOSA 360,Vanila,,80,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream,,0,,5,4
DOSA 360,Lassi,,40,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream,,0,,5,5
DOSA 360,Butter Milk,,30,,,,10,0,Veg,12:00AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream,,0,,5,6
DOSA 360,Aloo Dry Masala Cheese,,85,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Duo Corner,,0,,6,1
DOSA 360,Paneer Mushroom Cheese,,100,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Duo Corner,,0,,6,2
DOSA 360,Mushroom Chilli Cheese,,100,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Duo Corner,,0,,6,3
DOSA 360,Stump Dosa,"Paneer, Sweet Corn, Aloo Masala, Schezwan, Beetroot, Butter With Cheese",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,1
DOSA 360,Gulf Special,"Cherry, Chocolate Cream & Dry Fruits",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,2
DOSA 360,Kaju Paneer,"Kaju, Paneer, Capsicum, Red Cabbage With Mild Cheese",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,3
DOSA 360,Paneer Chinese Mushroom Dosa,"Carrot, Cabbage, Capsicum, Paneer Mushroom With Tomato Vurry",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,4
DOSA 360,Mexican Salsa,"Capsicum, Fried Spring Onion, Mayonnaise With Sauce",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,5
DOSA 360,American Chopssey,"Noodles, Mixed Vegetables, Sweet Corn, Fried Onion With Butter",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,6
DOSA 360,Dry Fruits Dosa,"Paneer, Kaju, Kismiss, Almond And Fried Onion With Butter",130,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,7
DOSA 360,Pizza Dosa,,150,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Vintage Corner,,0,,7,8
DOSA 360,Shcezwan Aloo Dry Masala,,85,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,1
DOSA 360,Schezwan Mix Veg Dosa,,85,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,2
DOSA 360,Schezwan Mushroom Dosa,,95,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,3
DOSA 360,Schezwan Paneer Dosa,,95,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,4
DOSA 360,Schezwan Pav Bhaji Masala Dosa,,95,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,5
DOSA 360,Schezwan Spring Roll Dosa,,85,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,6
DOSA 360,Schezwan Butter Plain Dosa,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,7
DOSA 360,Schezwan Butter Onion Dosa,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,8
DOSA 360,Schezwan Cheese Dosa,,70,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Schezwan Corner,,0,,8,9
DOSA 360,Capsicum Cheese,,90,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Cheese Corner,,0,,9,1
DOSA 360,Chinese Cheese,,100,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Cheese Corner,,0,,9,2
DOSA 360,Mushroom Cheese,,100,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Cheese Corner,,0,,9,3
DOSA 360,Mix Veg Cheese,,100,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Cheese Corner,,0,,9,4
DOSA 360,Paneer Cheese,,100,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Cheese Corner,,0,,9,5
DOSA 360,Fish Pizza Dosa,,260,,,,10,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Pizza Dosas,,0,,10,1
DOSA 360,Chicken Pizza Dosa,,220,,,,10,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Pizza Dosas,,0,,10,2
DOSA 360,Mutton Pizza Dosa,,240,,,,10,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Pizza Dosas,,0,,10,3
DOSA 360,Thattu Idly,,30,,,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Specials,,0,,11,1
