restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
AARAH CAFE,French Fries,,55,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
AARAH CAFE,Peri Peri Fries,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
AARAH CAFE,Masala Fries,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
AARAH CAFE,Veg Smilies,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
AARAH CAFE,Veg Nuggets,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
AARAH CAFE,Aloo Tikka,,44,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,1
AARAH CAFE,Chicken Popcorn,,88,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Chicken Nuggets,,77,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Chicken Leg,,66,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Chicken 65,,77,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Bread Omlette,,33,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Bread Cheese Omelette,,44,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Veg Burger,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,3,1
AARAH CAFE,Panner Tikka Burger,,88,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,3,1
AARAH CAFE,Veg Double Ducker Burger,,121,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,4,1
AARAH CAFE,Chicken Buger,,88,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,4,1
AARAH CAFE,Chicken Double Ducker Burger,,165,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,5,1
AARAH CAFE,Chicken Tikka Sandwich,,88,,,,0,0,Non Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,5,1
AARAH CAFE,Veg Sandwich,,55,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,5,1
AARAH CAFE,Choco Sandwich,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,5,1
AARAH CAFE,Chilly Cheese Sandwich,,50,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,6,1
AARAH CAFE,Blue Blast Mocktail,,77,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Berry Blast Mocktail,,77,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Virgin Mojito Mocktail,,66,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Grape Classic Mocktail,,88,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Orange Pulp Mocktail,,88,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Coconut Mocktail,,77,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Melon Up Mocktail,,88,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Green Apple Mocktail,,77,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mocktails,,0,,7,1
AARAH CAFE,Veg Momos,,55,,,,0,0,Veg,10:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Momos,,0,,12,1
