restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
AARTHI RESTAURANT,Parcel Meals,,90,,,,0,0,veg,11:00AM,04:30PM,,,,,,,"1,2,3,4,5,6,7",0,,Lunch,,0,,1,2
AARTHI RESTAURANT,Curd,,10,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",0,,Lunch,,0,,1,1
AARTHI RESTAURANT,Mutton Biriyani,,130,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",0,,Biriyani,,0,,1,1
AARTHI RESTAURANT,Chicken Biriyani,,110,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,2
AARTHI RESTAURANT,Nattukozhi Biriyani,,140,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Egg Biriyani,,80,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Plain Biriyani,,60,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Turkey Biriyani,,140,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",0,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Parotta,,15,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,2,1
AARTHI RESTAURANT,Crispy parotta,,20,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,2,1
AARTHI RESTAURANT,Special Parotta,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Bun Parotta,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Veech Parotta,,20,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Onion Veechu parotta,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Egg Parotta,,70,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Egg Veechu Parotta,,30,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Special Egg Parotta,,80,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Chilly Parotta,,70,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,3,1
AARTHI RESTAURANT,Chicken Egg Parotta,,160,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,4,1
AARTHI RESTAURANT,Chappathi Set,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta ,,0,,4,1
AARTHI RESTAURANT,Veg Noodles,,70,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,4,1
AARTHI RESTAURANT,Egg Noodles,,90,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,4,1
AARTHI RESTAURANT,Chicken Noodles,,100,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,4,1
AARTHI RESTAURANT,Mushroom Noodles,,90,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,5,1
AARTHI RESTAURANT,Veg Fried Rice,,70,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,1
AARTHI RESTAURANT,Egg Fried Rice,,90,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,1
AARTHI RESTAURANT,Chicken Fried Rice,,100,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,1
AARTHI RESTAURANT,Mushroom Fried Rice,,90,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,1
AARTHI RESTAURANT,Gobi Fried Rice,,90,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,1
AARTHI RESTAURANT,Dosa,,30,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,6,1
AARTHI RESTAURANT,Ghee Dosa,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,6,1
AARTHI RESTAURANT,Podi Dosa,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,6,1
AARTHI RESTAURANT,Masal Dosa,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,7,1
AARTHI RESTAURANT,Egg Dosa,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,7,1
AARTHI RESTAURANT,Roast,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,7,1
AARTHI RESTAURANT,Ghee Roast,,60,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,7,1
AARTHI RESTAURANT,Masal Roast,,60,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,7,1
AARTHI RESTAURANT,Podi Roast,,60,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,7,1
AARTHI RESTAURANT,Onion Roast,,60,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,8,1
AARTHI RESTAURANT,Egg Roast,,60,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,8,1
AARTHI RESTAURANT,Utthappam,,30,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,8,1
AARTHI RESTAURANT,Egg Utthappam,,40,,,,0,0,veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,8,1
