restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
AARTHI RESTAURANT,Mutton Biriyani,,189,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Biriyani,,0,,1,1
AARTHI RESTAURANT,Chicken Biriyani,,116,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,2
AARTHI RESTAURANT,Egg Biriyani,,84,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Plain Biriyani,,74,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Turkey Biriyani,,158,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
AARTHI RESTAURANT,Parotta 2 Pcs with Veg Kuruma,,32,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,1
AARTHI RESTAURANT,Parotta 2 Pcs with Non-Veg Kulambu,,32,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,1
AARTHI RESTAURANT,Crispy Parotta,,26,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,1
AARTHI RESTAURANT,Special Parotta,,42,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Bun Parotta,,42,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Veechu Parotta,,26,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Onion Egg Veechu Parotta,,47,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Egg Parotta,,84,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Egg Veechu Parotta,,42,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Special Egg Parotta,,105,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Chilli Parotta,,95,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,3,1
AARTHI RESTAURANT,Chicken Egg Parotta,,210,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,4,1
AARTHI RESTAURANT,Chappathi 2 Pcs,,42,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parottas,,0,,4,1
AARTHI RESTAURANT,Veg Noodles,,84,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,4,1
AARTHI RESTAURANT,Egg Noodles,,105,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,4,1
AARTHI RESTAURANT,Chicken Noodles,,126,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,4,1
AARTHI RESTAURANT,Mushroom Noodles,,105,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
AARTHI RESTAURANT,Veg Fried Rice,,84,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
AARTHI RESTAURANT,Egg Fried Rice,,105,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
AARTHI RESTAURANT,Chicken Fried Rice,,126,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
AARTHI RESTAURANT,Mushroom Fried Rice,,105,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
AARTHI RESTAURANT,Gobi Fried Rice,,105,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,6,1
AARTHI RESTAURANT,Dosa,,32,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,6,1
