restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
SRI AMARAVATHI,Milagu Dhaniya Shorba,,40,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Vegetable Manchow Soup,,40,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Mushroom Pepper Soup ,,40,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Hot & Sour Veg Soup,,40,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Lemon Coriander Veg Bsoup,,40,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Sweet Corn Veg Soup,,40,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Chettinad Kozhi Soup,,50,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Chicken Manchow Soup,,50,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Chicken Sweet Corn Soup,,50,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Mutton Bone Soup,,60,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Nandu Soup,,60,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Nattu Kozhi Soup,,60,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
SRI AMARAVATHI,Gobi 65 ,,70,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Golden Fry Baby Corn,,80,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Mushroom 65 ,,85,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Paneer 65 ,,85,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Crispy Fried Vegetables,,90,10,Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Chicken 65,,70,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Chicken 65 (Boneless),,100,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
SRI AMARAVATHI,Chicken Lollipop,,100,10,Non Veg,,,,,12:00PM,03:30PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters ,,0,
