restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
ANDHRA MESS,Plain Dosa ,,25,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Onion Dosa,,40,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Podi Dosa,,40,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Ghee Dosa,,40,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Panner Dosa,,60,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Kal Dosa,,15,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Kal Podi Dosa,,25,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Ghee Podi Dosa,,50,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Set Dosa,,30,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Kaaram Dosa,,40,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Egg Kaaram Dosa,,50,0,Non Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Onion Utappam,,40,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Papper Roast ,,50,0,Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Egg Dosa,,40,0,Non Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Egg Masala Dosa,,50,0,Non Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Chicken Dosa,,70,0,Non Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Mutton Dosa,,90,0,Non Veg,,,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,
ANDHRA MESS,Chapati 3(Pcs),,30,0,Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Chappathi Items,,0,
ANDHRA MESS, Roti 3 (3Pcs),,30,0,Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Chappathi Items,,0,
ANDHRA MESS,Egg Chapati,,30,0,Non Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Chappathi Items,,0,
ANDHRA MESS,Ghee Chapati,,20,0,Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Chappathi Items,,0,
ANDHRA MESS,Butter Chapatti,,20,0,Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Chappathi Items,,0,
ANDHRA MESS,Parotta 2(Pcs),,20,0,Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Parotta,,0,
ANDHRA MESS,Egg Parotta,,30,0,Non Veg,,,,,12:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Parotta,,0,
