restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
ANNAPOORNA MESS-SATHUVACHERI,Non Veg Meals,,120,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Rice,,0,
ANNAPOORNA MESS-SATHUVACHERI,Extra Rice,,20,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Rice,,0,
ANNAPOORNA MESS-SATHUVACHERI,Chicken Varuval,,130,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Chicken Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Nattukozhi Varuval,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Chicken Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Mutton Varuval,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Mutton Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Eeral Varuval,,150,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Mutton Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Thlacurry Varuval,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Mutton Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Kudalcurry Varuval,,130,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Mutton Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Moolai Varuval,,150,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Mutton Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Kadal Vaval,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Fish Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Eral Fish Varuval,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Fish Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Suraputtu Varuval,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Fish Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Vanjaram Fish,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Fish Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Omblette,,50,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Egg Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Egg Podimaas,,50,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Egg Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Muyal Curry,,180,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Kaadai 65,,130,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Starters,,0,
ANNAPOORNA MESS-SATHUVACHERI,Beeda,,10,,Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Add Ons,,0,
ANNAPOORNA MESS-SATHUVACHERI,Extra,"Masala, Rasam, More, Sambar, Poriyal",30,,Non Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Add Ons,,0,
ANNAPOORNA MESS-SATHUVACHERI,Curd,,20,,Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6",1,,Add Ons,,0,
