restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL ANNASURABI - VENGIKKAL,Chicken Biriyani With Egg,,130,,,,10,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,1
HOTEL ANNASURABI - VENGIKKAL,Mutton Biriyani,,150,,,,10,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,2
HOTEL ANNASURABI - VENGIKKAL,Kaadai Biriyani,,200,,,,10,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,3
HOTEL ANNASURABI - VENGIKKAL,Mugal Durbar Biriyani,,210,,,,10,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,4
HOTEL ANNASURABI - VENGIKKAL,Mutton Kushka,,90,,,,10,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,5
HOTEL ANNASURABI - VENGIKKAL,Chicken Kushka,,80,,,,10,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,6
HOTEL ANNASURABI - VENGIKKAL,Veg Meals,,80,,,,10,Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,3,7
HOTEL ANNASURABI - VENGIKKAL,Vegetable Soup,,55,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
HOTEL ANNASURABI - VENGIKKAL,Veg Clear Soup,,45,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
HOTEL ANNASURABI - VENGIKKAL,Veg Hot & Sour Soup,,60,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
HOTEL ANNASURABI - VENGIKKAL,Mushroom Soup,,60,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
HOTEL ANNASURABI - VENGIKKAL,Anna Surabi Spl Veg Soup,,60,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
HOTEL ANNASURABI - VENGIKKAL,Chicken Soup ,,60,,,,10,Non Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
HOTEL ANNASURABI - VENGIKKAL,Chicken Clear Soup,,50,,,,10,Non Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
HOTEL ANNASURABI - VENGIKKAL,Chicken Hot & Soup Soup,,65,,,,10,Non Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
HOTEL ANNASURABI - VENGIKKAL,Chicken Chettinag Soup,,70,,,,10,Non Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
HOTEL ANNASURABI - VENGIKKAL,Mutton Soup ,,70,,,,10,Non Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
HOTEL ANNASURABI - VENGIKKAL,Anna Surabi Spl Non Veg Soup,,65,,,,10,Non Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
HOTEL ANNASURABI - VENGIKKAL,Veg Fried Rice ,,80,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,1
HOTEL ANNASURABI - VENGIKKAL,Panneer Fried Rice ,,100,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,2
HOTEL ANNASURABI - VENGIKKAL,Mushroom Fried Rice ,,90,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,3
HOTEL ANNASURABI - VENGIKKAL,Gopi Fried Rice,,80,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,4
HOTEL ANNASURABI - VENGIKKAL,Schezwan Fried Rice,,90,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,5
HOTEL ANNASURABI - VENGIKKAL,Mixed Fried Rice,,100,,,,10,Veg,,,,,,,06:00PM,10:15PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,6
