restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
HOTEL ANNASURABI - MEENATCHI THEATRE,Chicken Biriyani With Egg,,130,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Mutton Biriyani,,150,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Kaadai Biriyani,,200,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Mugal Darbar Biriyani,,210,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Mutton Kushka,,90,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Chicken Kushka,,80,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Vegetable Soup,,55,10,Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Veg Clear Soup,,45,10,Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Veg Hot & Sour Soup,,60,10,Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Mushroom Soup,,60,10,Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Anna Surabi Spl Veg Soup,,60,10,Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Chicken Soup ,,60,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Chicken Clear Soup,,50,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Chicken Hot & Soup Soup,,65,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Chicken Chettinag Soup,,70,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
HOTEL ANNASURABI - MEENATCHI THEATRE,Mutton Soup ,,70,10,Non Veg,11:45AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
