restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL APOORVAA,Veg Briyani,,60,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice, ,0,,18,1
HOTEL APOORVAA,Tomato Rice,,50,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,18,2
HOTEL APOORVAA,Curd Rice,,45,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,18,3
HOTEL APOORVAA,Sambar Rice,,50,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,18,4
HOTEL APOORVAA,Parotta (1 No),,30,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,5
HOTEL APOORVAA,Chappathi (1 No),,27,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,6
HOTEL APOORVAA,Idly (1 No),,15,,,,10,Veg,07.00PM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,7
HOTEL APOORVAA,Roast ,,60,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,8
HOTEL APOORVAA,Podi Roast,,70,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,9
HOTEL APOORVAA,Onion Roast,,85,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,10
HOTEL APOORVAA,Ghee Roast,,75,,,,10,Veg,11.00AM,09.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,18,11
