restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ARABIAN BBQ,BBQ Leg 2 Pcs,,120,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,1
ARABIAN BBQ,BBQ Hot Wings 2 Pcs,,80,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,2
ARABIAN BBQ,BBQ Lollipop 2 Pcs,,80,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,3
ARABIAN BBQ,BBQ Boneless Chicken,,107,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,4
ARABIAN BBQ,BBQ Boneless Tikka,,107,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,5
ARABIAN BBQ,BBQ Hariyali Tikka,,98,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,6
ARABIAN BBQ,BBQ Paneer Tikka,,76,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,7
ARABIAN BBQ,BBQ Fish (full),,108,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,8
ARABIAN BBQ,BBQ Fish 2 Pcs,,80,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,9
ARABIAN BBQ,Mojito,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ,,0,,1,10
ARABIAN BBQ,BBQ Combo,"Leg, Wings, Lollipop, Tikka, Fish, Mojito",210,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ Combo,,0,,2,1
