restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ARAFA CHICKEN PARK,Hyderabadi Chicken Biriyani,Basmati Rice/Egg/Rawa Firni Sweet,264,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,1
ARAFA CHICKEN PARK,Hyderabadi Chicken Biriyani 1/2,Basmati Rice/Egg/Rawa Firni Sweet,192,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,2
ARAFA CHICKEN PARK,Hyderabadi Plain Chicken Biriyani,Basmati Rice/Egg/Rawa Firni Sweet,192,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,3
ARAFA CHICKEN PARK,Hyderabadi Egg Biriyani,Basmati Rice/Egg/Rawa Firni Sweet,204,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,4
ARAFA CHICKEN PARK,Hyderabadi Mutton Biryani,,348,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,5
ARAFA CHICKEN PARK,Hyderabadi Mutton Biriyani Half,,240,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,6
ARAFA CHICKEN PARK,Hyderabadi Mutton Biriyani Plain,,192,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hyderabadi Biriyani,,0,,1,7
ARAFA CHICKEN PARK,Bucket Biriyani Full Hyderabad Chicken,Basmati Rice/Egg/Raitha/Rawa Firmi Sweet (8 Persons),1920,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bucket Biriyani,,0,,2,1
ARAFA CHICKEN PARK,Bucket Biriyani Half Hyderabad Chicken,Basmati Rice/Egg/Raitha/Rawa Firmi Sweet (4 Persons),960,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bucket Biriyani,,0,,2,2
ARAFA CHICKEN PARK,Bucket Biriyani Full Hyderabad Mutton,Basmati Rice/Egg/Raitha/Rawa Firmi Sweet (8 Persons),2340,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bucket Biriyani,,0,,2,3
ARAFA CHICKEN PARK,Bucket Biriyani Half Hyderabad Mutton,Basmati Rice/Egg/Raitha/Rawa Firmi Sweet (4 Persons),1500,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bucket Biriyani,,0,,2,4
ARAFA CHICKEN PARK,Arabian Mandi Biriyani with Chicken Alfaham 1/4,,504,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,3,1
ARAFA CHICKEN PARK,Arabian Mandi Biriyani with Chicken Alfaham 1/2,,480,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,3,2
ARAFA CHICKEN PARK,Arabian Mandi Biriyani with Chicken Alfaham Full,,1920,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,3,3
ARAFA CHICKEN PARK,Chicken Hyderabadi Biriyani + Alfaham Quarter,,420,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biryani Combo,,0,,4,1
ARAFA CHICKEN PARK,Chicken Hyderabadi Biriyani + Chicken Stick Kebab 2 Pcs,,516,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biryani Combo,,0,,4,2
ARAFA CHICKEN PARK,Hyderabadi Plain Biriyani + Alfaham Quarter,,348,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biryani Combo,,0,,4,3
ARAFA CHICKEN PARK,Hyderabadi Plain Biriyani + Chicken Stick Kebab 2 Pcs,,444,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biryani Combo,,0,,4,4
