restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KARUR HOTEL ARCHANA,Idly (1Set),,32,,,,5,Veg,,,08:00AM,10:30AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,1
KARUR HOTEL ARCHANA,Poondu Podi Idly,,74,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,5
KARUR HOTEL ARCHANA,Pepper Idly,,68,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,31
KARUR HOTEL ARCHANA,Fried Idly,,63,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,32
KARUR HOTEL ARCHANA,Chinese Idly,,63,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,33
KARUR HOTEL ARCHANA,Dilwale Idly,,68,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,34
KARUR HOTEL ARCHANA,Baba Idly,,47,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,35
KARUR HOTEL ARCHANA,Kheema Idly,,63,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,36
KARUR HOTEL ARCHANA,Chilli Idly,,53,,,,5,Veg,,,,,,,05:30PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,37
KARUR HOTEL ARCHANA,Sambar Idly (1 Plate),,37,,,,5,Veg,,,08:00AM,10:30AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,6
KARUR HOTEL ARCHANA,Mini Idly,,53,,,,5,Veg,,,08:00AM,10:30AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,7
KARUR HOTEL ARCHANA,Ghee Idly,,47,,,,5,Veg,,,08:00AM,10:30AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,1,8
