restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KARUR HOTEL ARCHANA,TOMATO SOUP,,53,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,1
KARUR HOTEL ARCHANA,VEGETABLE SOUP,,53,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,2
KARUR HOTEL ARCHANA,VEG CLEAR SOUP,,53,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,3
KARUR HOTEL ARCHANA,MUSHROOM SOUP,,63,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,4
KARUR HOTEL ARCHANA,SWEET CORN VEG SOUP,,42,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,5
KARUR HOTEL ARCHANA,HOT & SOUP VEG SOUP,,63,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,6
KARUR HOTEL ARCHANA,VEG MANCHOW SOUP,,42,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,7
KARUR HOTEL ARCHANA,MULUGU THANI SOUP,,63,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,SOUPS,,0,,1,8
KARUR HOTEL ARCHANA,GREEN SALAD,,37,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,1
KARUR HOTEL ARCHANA,ROASTED PAPPAD,,32,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,2
KARUR HOTEL ARCHANA,MASALA PAPPAD,,37,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,3
KARUR HOTEL ARCHANA,FRENCH FRIED,,79,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,4
KARUR HOTEL ARCHANA,VEG LOLLY POP,,84,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,5
KARUR HOTEL ARCHANA,PEPPER MUSHROOM,,126,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,6
KARUR HOTEL ARCHANA,ALOO JEERA DRY,,95,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,7
KARUR HOTEL ARCHANA,PANNEER FINGER,,110,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,8
KARUR HOTEL ARCHANA,VEG SPRING ROLL,,74,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,9
KARUR HOTEL ARCHANA,MUSHROOM PALLIPALAYAM,,116,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,10
KARUR HOTEL ARCHANA,MUSHROOM SUKKA,,142,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,11
KARUR HOTEL ARCHANA,PANNEER TIKKA,,152,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,12
KARUR HOTEL ARCHANA,PANNEER SUKKA,,163,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,13
KARUR HOTEL ARCHANA,CHILLY GOBI,,105,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,14
KARUR HOTEL ARCHANA,CHILLY PANNER,,147,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,15
KARUR HOTEL ARCHANA,CHILLY MUSHROOM,,110,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,16
KARUR HOTEL ARCHANA,ARCHANA GOBI,,137,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,17
KARUR HOTEL ARCHANA,ARCHANA PANNEER,,158,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,18
KARUR HOTEL ARCHANA,ARCHANA MUSHROOM,,147,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,19
KARUR HOTEL ARCHANA,MANCHURIAN GOBI,,105,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,20
KARUR HOTEL ARCHANA,MANCHURIAN PANNEER,,147,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,21
KARUR HOTEL ARCHANA,MUSHROOM MANCHURIAN,,126,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,22
KARUR HOTEL ARCHANA,CHINESE CHILLY GOBI,,105,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,23
KARUR HOTEL ARCHANA,CHINESE CHILLY PANNEER,,147,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,STARTERS,,0,,2,24
