restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KARUR HOTEL ARCHANA,Mushroom Soup,,63,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
KARUR HOTEL ARCHANA,Roasted Pappad,,32,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
KARUR HOTEL ARCHANA,Masala Pappad,,37,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
KARUR HOTEL ARCHANA,French Fries,,79,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
KARUR HOTEL ARCHANA,Pepper Mushroom,,126,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
KARUR HOTEL ARCHANA,Aloo Jeera Dry,,95,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
KARUR HOTEL ARCHANA,Paneer Finger,,110,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
KARUR HOTEL ARCHANA,Veg Spring Roll,,74,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,9
KARUR HOTEL ARCHANA,Mushroom Pallipalayam,,116,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,10
KARUR HOTEL ARCHANA,Mushroom Sukka,,142,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,11
KARUR HOTEL ARCHANA,Paneer Tikka,,152,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,12
KARUR HOTEL ARCHANA,Paneer Sukka,,163,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,13
KARUR HOTEL ARCHANA,Chilly Gobi,,105,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,14
KARUR HOTEL ARCHANA,Chilly Paneer,,147,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,15
KARUR HOTEL ARCHANA,Chilly Mushroom,,110,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,16
KARUR HOTEL ARCHANA,Archana Gobi,,137,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,17
KARUR HOTEL ARCHANA,Archana Paneer,,158,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,18
KARUR HOTEL ARCHANA,Archana Mushroom,,147,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,19
KARUR HOTEL ARCHANA,Manchurian Gobi,,105,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,20
KARUR HOTEL ARCHANA,Manchurian Paneer,,147,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,21
KARUR HOTEL ARCHANA,Mushroom Manchurian,,126,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,22
KARUR HOTEL ARCHANA,Chinese Chilly Gobi,,105,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,23
KARUR HOTEL ARCHANA,Chinese Chilly Paneer,,147,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,24
KARUR HOTEL ARCHANA,Baby Corn Manchurian Dry,,84,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,25
KARUR HOTEL ARCHANA,Baby Corn Golden Fry,,116,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,26
KARUR HOTEL ARCHANA,Veg Ball Manchurian,,89,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,27
KARUR HOTEL ARCHANA,Dosa,,60,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,1
KARUR HOTEL ARCHANA,Podi Roast,,68,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,2
KARUR HOTEL ARCHANA,Ghee Roast,,89,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,3
KARUR HOTEL ARCHANA,Paper Roast,,137,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,4
KARUR HOTEL ARCHANA,Onion Roast,,70,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,5
KARUR HOTEL ARCHANA,Butter Rost,,68,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,6
KARUR HOTEL ARCHANA,Rocket Roast,,63,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,7
KARUR HOTEL ARCHANA,Masala Roast,,70,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,8
KARUR HOTEL ARCHANA,Ghee Masala Roast,,89,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,9
KARUR HOTEL ARCHANA,Onion Masala Roast,,74,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,11
KARUR HOTEL ARCHANA,Veg Uthappam,,68,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,12
KARUR HOTEL ARCHANA,Podi Uthappam,,63,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,13
KARUR HOTEL ARCHANA,Ghee Uthappam,,63,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,14
KARUR HOTEL ARCHANA,Onion Uthappam,,66,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,15
KARUR HOTEL ARCHANA,Garlic Uthappam,,79,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,16
KARUR HOTEL ARCHANA,Butter Uthappam,,63,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,17
KARUR HOTEL ARCHANA,Tomato Uthappam,,63,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,18
KARUR HOTEL ARCHANA,Rava Roast,,65,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,19
KARUR HOTEL ARCHANA,Ghee Rava Roast,,81,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,20
KARUR HOTEL ARCHANA,Onion Rava Roast,,68,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,21
KARUR HOTEL ARCHANA,Ghee Cashewnut Rava Roast,,100,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,23
KARUR HOTEL ARCHANA,Dry Fruits Rava Roast,,89,,,,5,Veg,,,,,,,04:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,24
KARUR HOTEL ARCHANA,Chappathi,,58,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,25
KARUR HOTEL ARCHANA,Parotta,,26,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,26
KARUR HOTEL ARCHANA,Chilli Parotta,,70,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,27
KARUR HOTEL ARCHANA,Chilli Chappathi,,84,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,28
KARUR HOTEL ARCHANA,Bun Parotta,,47,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,29
KARUR HOTEL ARCHANA,Wheat Parotta,,63,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,30
KARUR HOTEL ARCHANA,Veechu Parotta,,47,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,31
KARUR HOTEL ARCHANA,Veechu Onion,,58,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,32
KARUR HOTEL ARCHANA,Veechu Paneer,,85,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,33
KARUR HOTEL ARCHANA,Veechu Mushroom,,68,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,34
KARUR HOTEL ARCHANA,Coin Parotta,,63,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,35
KARUR HOTEL ARCHANA,Veg Kheema Parotta,,63,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,36
KARUR HOTEL ARCHANA,Paneer Parotta,,79,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,37
KARUR HOTEL ARCHANA,Mushroom Parotta,,68,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,38
KARUR HOTEL ARCHANA,Chettinadu Parotta,,63,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,39
KARUR HOTEL ARCHANA,Japan Parotta,,68,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,40
KARUR HOTEL ARCHANA,Chinese Parotta,,63,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,41
KARUR HOTEL ARCHANA,Navadhaniya Dosa,,79,,,,5,Veg,,,,,,,06:00PM,11:00PM,7,1,,Millet Dosa Varieties,,0,,3,42
KARUR HOTEL ARCHANA,Kuthiri Vally Dosa,,68,,,,5,Veg,,,,,,,06:00PM,11:00PM,1,1,,Millet Dosa Varieties,,0,,3,43
KARUR HOTEL ARCHANA,Wheat Dosa,,63,,,,5,Veg,,,,,,,06:00PM,11:00PM,2,1,,Millet Dosa Varieties,,0,,3,44
KARUR HOTEL ARCHANA,Saamai Dosa,,68,,,,5,Veg,,,,,,,06:00PM,11:00PM,3,1,,Millet Dosa Varieties,,0,,3,45
KARUR HOTEL ARCHANA,Thinai Dosa,,68,,,,5,Veg,,,,,,,06:00PM,11:00PM,4,1,,Millet Dosa Varieties,,0,,3,46
KARUR HOTEL ARCHANA,Kambu Dosa,,68,,,,5,Veg,,,,,,,06:00PM,11:00PM,5,1,,Millet Dosa Varieties,,0,,3,47
KARUR HOTEL ARCHANA,Chola Dosa,,68,,,,5,Veg,,,,,,,06:00PM,11:00PM,6,1,,Millet Dosa Varieties,,0,,3,48
KARUR HOTEL ARCHANA,Idly,,16,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,1
KARUR HOTEL ARCHANA,Ghee Mini Idly,,58,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,2
KARUR HOTEL ARCHANA,Sambar Idly,,37,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,3
KARUR HOTEL ARCHANA,Pepper Idly,,58,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,4
KARUR HOTEL ARCHANA,Poondu Podi Idly,,68,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,5
KARUR HOTEL ARCHANA,Fried Idly,,63,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,6
KARUR HOTEL ARCHANA,Chilli Idly,,63,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,7
KARUR HOTEL ARCHANA,Dilwale Idly,,68,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,8
KARUR HOTEL ARCHANA,Chinese Idly,,63,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,9
KARUR HOTEL ARCHANA,Kheema Idly,,63,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,10
KARUR HOTEL ARCHANA,Veg Kothu Curry,,68,,,,5,Veg,,,,,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly Varieties,,0,,4,11
KARUR HOTEL ARCHANA,Archana Special Meals,Sambar Rasam Koottu Poriyal Palak Vada Payasam Chappathi Kurma Paruppu Podi Ghee White Rice Special Rice Raitha Butter Milk Curd,158,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,1
KARUR HOTEL ARCHANA,Mini Meals,Sambar Rice Curd Rice Special Rice Chappathi Khormaporiyal Payasam Papad,100,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,10
KARUR HOTEL ARCHANA,Sambar Rice,,53,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,4
KARUR HOTEL ARCHANA,Curd Rice,,58,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,5
KARUR HOTEL ARCHANA,Jeera Rice,,74,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,6
KARUR HOTEL ARCHANA,Tomato Rice,,53,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,7
KARUR HOTEL ARCHANA,Mushroom Dum Biriyani (Ambur),,84,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,11
KARUR HOTEL ARCHANA,Veg Dum Biriyani,,58,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,12
KARUR HOTEL ARCHANA,Veg Pulao,,105,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,13
KARUR HOTEL ARCHANA,Kashmiri Pulao,,105,,,,5,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Rice Treasures,,0,,5,14
