restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
ARUDHRA BHAVAN,Idly (1 Pc),,10.5,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Ghee Idly,,42,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Sambar Idly (2 Pcs),,31.5,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Medhu Vadai (1 Pc),,10.5,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Sambarvadai (1 Pc),,21,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,1,
ARUDHRA BHAVAN,Curd Vadai (1 Pc),,26.25,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Rice Pongal,,47.25,5,Veg,,,06:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Poori (2 Pcs),,47.25,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Plain Dosai ,,47.25,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Masala Dosai ,,57.75,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Ghee Roast,,78.75,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Podi Dosai,,84,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Rava Dosai ,,52.5,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Onion Rava Dosai,,68.25,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Onion Dosai ,,68.25,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Onion Uthappam ,,68.25,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Plain Uthappam,,42,5,Veg,,,06:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Curd,,10.5,5,Veg,,,09:00AM,03:00PM,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Parota (2 Pcs),,47.25,5,Veg,,,,,11:00AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Chappathi (2 Pcs),,47.25,5,Veg,,,,,11:00AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Cholapoori,,68.25,5,Veg,,,,,,,05:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
ARUDHRA BHAVAN,Idiyappam (3 Pcs),,36.75,5,Veg,,,06:30AM,10:00AM,,,05:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
