restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
AJAY BRIYANI CENTRE,Chicken Briyani,,90,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
AJAY BRIYANI CENTRE,Plain Briyani,,70,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,2
AJAY BRIYANI CENTRE,Mutton Briyani,,190,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,3
AJAY BRIYANI CENTRE,Mutton Briyani Plain,,120,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,4
AJAY BRIYANI CENTRE,Chilli Chicken Boneless,,80,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,1
AJAY BRIYANI CENTRE,Chilli Chicken Bone,,60,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
AJAY BRIYANI CENTRE,Chicken Varuval,,90,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
AJAY BRIYANI CENTRE,Chicken LolliPop 1 Pc,,60,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
AJAY BRIYANI CENTRE,Chicken Leg 1 Pc,,80,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
AJAY BRIYANI CENTRE,Chicken Manchurian,,110,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
AJAY BRIYANI CENTRE,Chicken Pallipalayam,,90,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
AJAY BRIYANI CENTRE,Chicken Uppukari,,90,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
AJAY BRIYANI CENTRE,Chicken Eeral Gravy,,70,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,9
AJAY BRIYANI CENTRE,Chicken Rice,,90,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,1
AJAY BRIYANI CENTRE,Egg Rice,,70,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,2
AJAY BRIYANI CENTRE,Chicken Noodles,,90,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,3
AJAY BRIYANI CENTRE,Egg Noodles,,70,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,4
