restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
ANDHRA SPICE,Chicken 65,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chilly Chicken,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Sizzler,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Dum,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Dum,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Pakoda,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Kabab,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Mongolia,,120,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Leaf,,120,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Manchurian,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Cashew Chicken,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Pepper Chicken ,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Keemaballs,,120,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Fry,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Drum Sticks,,120,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Majestic,,110,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Ramba Chicken 2 (Pcs),,100,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Chicken Lolly Pop,,120,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
ANDHRA SPICE,Mutton Fry,,150,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,
ANDHRA SPICE,Mutton Roast,,150,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,
ANDHRA SPICE,Mutton Chilly,,150,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,
ANDHRA SPICE,Mutton Manchurian,,150,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,
ANDHRA SPICE,Pepper Mutton,,150,0,Non Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,
ANDHRA SPICE,Gobi 65,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Crispy Corn,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Crispy Veg,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Paneer Bujji,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Gobi Manchurian,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Cashew Fry,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Paneer Manchurian,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
ANDHRA SPICE,Paneer 65,,90,0,Veg,,,,,12:00PM,4:00PM,6:30PM,10:15PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
