restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
APPUCHI VEETTU MANPANAI SAMAYAL,Sweet Corn Soup,Pre Booking Orders Only,60,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
APPUCHI VEETTU MANPANAI SAMAYAL,Veg Hot Soup,Pre Booking Orders Only,60,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom Soup,Pre Booking Orders Only,60,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Soup,Pre Booking Orders Only,60,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
APPUCHI VEETTU MANPANAI SAMAYAL,Veg Clear Soup,Pre Booking Orders Only,50,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
APPUCHI VEETTU MANPANAI SAMAYAL,Veg Soup,Pre Booking Orders Only,50,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
APPUCHI VEETTU MANPANAI SAMAYAL,TomatoSoup,Pre Booking Orders Only,50,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
APPUCHI VEETTU MANPANAI SAMAYAL,Panner 65,Pre Booking Orders Only,140,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,8
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom 65,Pre Booking Orders Only,130,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,9
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi 65,Pre Booking Orders Only,120,,,,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,10
