restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Sweet Corn Soup,,60,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Veg Hot Soup,,60,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Soup,,60,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Gobi Soup,,60,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Veg Clear Soup,,50,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Veg Soup,,50,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,TomatoSoup,,50,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Panner 65,,140,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,8
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom 65,,130,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,9
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Gobi 65,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,10
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Baby Corn 65,,140,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,11
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Fried Onion Rings,,70,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,12
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Onion Pakkoda,,80,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,13
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Hot Pepper,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,14
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Hot Pepper Fry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,15
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Hot Pepper Hydrabad,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,16
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Maharani,,130,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,17
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Manchuriyan/semi,,130,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,18
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Mushroom Fry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,7
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Gobi Hydrabad,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,1
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Gobi Manchuriyan/semi,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,2
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Gobi Maharani,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,3
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Gobi Fry,,100,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,3
APPUCHI VEETTU MANPANAI SAMAYAL FAMILY RESTAURANT,Panner Hydrabad,,140,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,4
