restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
APPUCHI VEETTU MANPANAI SAMAYAL,Paneer Tikka,,150,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,1
APPUCHI VEETTU MANPANAI SAMAYAL,Paneer Manchurian Dry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,2
APPUCHI VEETTU MANPANAI SAMAYAL,Paneer Hyderabad Dry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,3
APPUCHI VEETTU MANPANAI SAMAYAL,Paneer Pepper Fry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,4
APPUCHI VEETTU MANPANAI SAMAYAL,Paneer 65,,100,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,5
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom Hyderabad Dry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,6
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom Manchurian Dry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,7
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom Pepper Fry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,8
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom 65,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,9
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Hot Pepper,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,10
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Hyderabad Dry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,11
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Manchurian Dry,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,12
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Chilly,,80,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,13
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom Fry,,100,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,14
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Fry,,80,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,15
APPUCHI VEETTU MANPANAI SAMAYAL,Mushroom Maharani,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,16
APPUCHI VEETTU MANPANAI SAMAYAL,Gobi Maharani,,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,17
APPUCHI VEETTU MANPANAI SAMAYAL,Veg Ball Manchurian (Special),,120,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,1,,2,18
APPUCHI VEETTU MANPANAI SAMAYAL,Tandoori Chicken Full,,340,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,1
APPUCHI VEETTU MANPANAI SAMAYAL,Tandoori Chicken Half,,180,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,2
APPUCHI VEETTU MANPANAI SAMAYAL,Tangri Kebab,,150,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,3
APPUCHI VEETTU MANPANAI SAMAYAL,Reshmi Kebab,,170,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,4
APPUCHI VEETTU MANPANAI SAMAYAL,Chicken Kebab,,80,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,5
APPUCHI VEETTU MANPANAI SAMAYAL,Chicken Tikka,,120,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,6
APPUCHI VEETTU MANPANAI SAMAYAL,Kalmi Kebab,,150,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,7
APPUCHI VEETTU MANPANAI SAMAYAL,Sea Kebab Boneless,,180,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,1,,13,8
APPUCHI VEETTU MANPANAI SAMAYAL,Flater Chicken Kebab,,200,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,9
