restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE KEBAB FACTORY,Malai Leg Piece (2 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,1
THE KEBAB FACTORY,Malai Wings (4 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,2
THE KEBAB FACTORY,Malai Lolly Pop (3 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,3
THE KEBAB FACTORY,Spicy Leg Piece (2 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,4
THE KEBAB FACTORY,Spicy Wings (4 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,5
THE KEBAB FACTORY,Spicy Lolly Pop (3 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,6
THE KEBAB FACTORY,Hariyali Leg Piece (2 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,7
THE KEBAB FACTORY,Hariyali Wings (4 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,8
THE KEBAB FACTORY,Hariyali Lolly Pop (3 Pcs),,120,,,,10,0,Non Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Specials,,0,,1,9
THE KEBAB FACTORY,Spicy Paneer (4 Pcs),,120,,,,10,0,Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Specials,,0,,2,1
THE KEBAB FACTORY,Spicy Pineapple (2 Pcs),,100,,,,10,0,Veg,05:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Specials,,0,,2,2
