restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BERRY'S BISTRO,Tempura Fried Cottage Cheese,Cottage Cheese Stuffed With Basil Pesto Mix Served With Tartar Sauce,204.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
BERRY'S BISTRO,Chessy Peperonata En Croute,Cheesy Layered Bell Peppers On Toasted Croutes,162.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,2
BERRY'S BISTRO,Baby Corn Salt & Pepper,Crispy Fried Baby Corn Tossed In Hot Garlic & Pepper Drizzle,152.25,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,3
BERRY'S BISTRO,Aloo Tikkin Chaat,"Aloo Tikki Dipped In A Mix Of Mint Chutney, Sweet Chutney & Yogurt Chutney",131.25,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,4
BERRY'S BISTRO,French Fries,Potato Fries Served With Cheese Dip,183.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,5
BERRY'S BISTRO,Mozzarella Stuffed Mushroom Fry,Button Mushroom Stuffed With Mozarella Cheese Served With Garlic & Chives Dip,131.25,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,6
BERRY'S BISTRO,Paneer Kaati Roll Kebab,Tortilla Wrapped Tandoori Paneer Enriched With Kasundhi And Served With Mint Chutney,267.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,7
BERRY'S BISTRO,Murgh Kaati Roll Kebab,Tortilla Wrapped Tandoori Chicken Enriched With Kasundhi And Served With Mint Chutney,267.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,8
BERRY'S BISTRO,South Indian Style Spicy Chicken Lollipop,Chicken Lollipop With Curry Leaves And Served With Hot Garlic Sauce,204.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,9
BERRY'S BISTRO,Crispy Fried Chicken Strips,Boneless Chicken Strips Served With Cocktail Sauce,204.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,10
BERRY'S BISTRO,Hot Bbq Chicken Wings,Braised Chicken Wings Lossed In Parsley With Bbq Sauce,204.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,11
BERRY'S BISTRO,Chicken Satay,Chicken Spiced And Served With Peanut Mayo Sauce,236.25,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,12
BERRY'S BISTRO,Jalepeno Peppers,Minced Chicken Stuffed Jatapeno Served With Dil Mayo,194.25,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,13
BERRY'S BISTRO,Fried Gujon Of Fish,Seer Fish Strips Served With Tartar Sauce,288.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,14
BERRY'S BISTRO,Crispy Fried Calamari Rings,Deep Fried Calamari Served With Tartar Sauce,288.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,15
BERRY'S BISTRO,Dhadey Ka Rajma Dhal,Rajma Dhal Served With Kashmiri Chawal Or Punjab Di Bhatti De Phulka (3 Pcs),204.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,1
BERRY'S BISTRO,Dhal Tadka,Yellow Dhal Served With Kashmiri Chawal Or Punjab Di Bhatti De Phulka (3 Pcs),204.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,2
BERRY'S BISTRO,Paav Bhajji Bombay Style,Mixed Veggies And Minced Potato Curry Served With Buttered Toasted Buns,183.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,3
BERRY'S BISTRO,Eggplant Parmesan,Baked Eggplant In Cheese And Herbs,309.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,4
BERRY'S BISTRO,Cannaloni,Lasagna And Boiled Veggies Cooked In Bechamel Sauce,309.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,5
BERRY'S BISTRO,Veg Au Gratin,Mixed Veggies And Potato Bake Served With Bread Roll,236.25,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,6
BERRY'S BISTRO,Chicken Au Gratin,Chicken And Potato Bake Served With Bread Roll,309.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,7
BERRY'S BISTRO,Thai Herb Scented Rice (Vegetable),Basmati Rice Topped With Herbs & Stir Fried Veggies With Hoisin Jhang,204.75,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,8
BERRY'S BISTRO,Thai Herb Scented Rice (Chicken),Basmati Rice Topped With Herbs & Chicken With Hoisin Jhang,236.25,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,9
BERRY'S BISTRO,Italian Stuffed Tortilaa Bread Topped With Veggies,Stuffed Cheesy Tortilla Bread Topped With Onion Salsa & Veggies,236.25,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,10
BERRY'S BISTRO,Italian Stuffed Tortilaa Bread Topped With Chicken Tikka,Stuffed Cheesy Tortilla Bread Topped With Onion Salsa & Chicken Tikka,267.75,,,,10,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,11
BERRY'S BISTRO,Veg Grilled Vegetable Panini Sandwich,Panini Bread Stuffed With Zucchini & Pimentos Served With Coleslaw & French Fries,236.25,,,,10,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,2,12
