restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BITES & FAMOUS JIGARTHANDA,Veg Burger,,109,,,,10,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,1
BITES & FAMOUS JIGARTHANDA,Fry O Fry Veg Burger,,129,,,,10,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,2
BITES & FAMOUS JIGARTHANDA,Egg Burger,,119,,,,10,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,3
BITES & FAMOUS JIGARTHANDA,Crispy Chicken Burger,,159,,,,10,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,4
BITES & FAMOUS JIGARTHANDA,Fish Burger,,169,,,,10,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,5
BITES & FAMOUS JIGARTHANDA,Chicken Burger,,129,,,,10,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,6
BITES & FAMOUS JIGARTHANDA,Extra Cheese,,20,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,7
BITES & FAMOUS JIGARTHANDA,Extra Mayonnaise,,10,,,,0,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,8
BITES & FAMOUS JIGARTHANDA,Veg Pizza,,179,,,,10,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,2,1
BITES & FAMOUS JIGARTHANDA,Sweet Corn Pizza,,189,,,,10,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,2,2
BITES & FAMOUS JIGARTHANDA,Spicy Panner Pizza,,199,,,,10,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,2,3
BITES & FAMOUS JIGARTHANDA,Fried Chicken Pizza,,219,,,,10,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,2,4
BITES & FAMOUS JIGARTHANDA,Tandoori Chicken Pizza,,229,,,,10,0,Non Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,2,5
