restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BOOMERANG,Vanilla Classic,A Simply Sweet And Classic Treat Of Nature'S Best Vinilla,47.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Choco Classic,Only The Firiest Cocoa Finds Its Way Into Our Classic Chocolate Softy,52.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Choco Vanilla Classic,The Elegant And Sophisticate Infution Of Our Creamy Classic,57.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Choco Top,Classic Vanilla Softy Wrapped In Luscious Hardening Chocolate,84,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Choco Ecleair,Classic Vanilla Softy Wrapped In Ribbons Of Fudge Sauce,68.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Butter Scotch Sundae,Classic Vanilla Softy Werapped In Homeade Butterschotch Sauce Topped Roasted Cashew Arid Drizzled With Praline,89.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Caramel Sundae,Classic Vanilla Softy With Swiets Of Goory Caramel Sauce Golden Delight,84,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Strawberry Sundae,Classic Vanilla Softy With Tangy Strawberry Crush Fit For The Summer Sun,73.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Mango Sundae,Mangoes Gone Wild On Our Classic Vanilla Softy,63,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Nutty Crunch,Classic Vanilla Softy Swirled With Luscious Fudge Sauce Topped With Roasted Cashew And Hard Chocolate,94.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Softies,,0,,,
BOOMERANG,Choco Mousse,Fluffy Chocolatey Goodness,68.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,1,
BOOMERANG,Brownie,Rich Chewy Chocolate Cake Preferred By Cake Connoisseurs Everywhere,68.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Cheese Cake,Our Homemade Cheese Cake Made With Fresh Quark Cheese,115.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Panna Cotta,"Traditional Italian Dessert Of Sweetened Cream, Tastes Best With Caramel Topping",73.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Choco Fantasy Cack,,73.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Donuts,Go Nuts With Donuts,68.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Black Forest Cake,,73.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Blue Berry Cake,,73.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Red Velvet,,84,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastries,,0,,,
BOOMERANG,Woffle Cone,,15.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Extras,,0,,,
BOOMERANG,Extra Nuts,,26.25,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Extras,,0,,,
BOOMERANG,Extra Toppings ,,15.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Extras,,0,,,
BOOMERANG,Extra Ice Cream With Shakes,,31.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Extras,,0,,,
BOOMERANG,Vanilla Shake,There'S Nothing Boring About This Old Classic Shake,99.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,8,
BOOMERANG,Chocolate Shake,A Blend Of Creamy Chocolate Ice Cream And Our Homemade Fudge Sauce,99.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Butter Scotch Shake,A Blend Of Creamy Butterschotch Icecream Gamished With Praline,99.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Oreo Shake,A Blend Of Creame Vanilla With Oreo Gamished With Chocolate Sauce,168,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Nutella Shake,Experience The Unforgettable Combination Of Natella And Milkshake,168,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Strawberry ,Freshest Strawberry Blended With Icecream To Beat The Heat,115.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Power ,A Blend Of The Flnest And Wholesome Nuts With Milkshake Healthy Energizer,168,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Lychee,Freshest Lychees Blended With Icecream,126,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Badam,Real Almond Sauce Blended With Icecream,99.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Browine Shake,A Blend Of Belgium Chocolate Ice Cream With Browries Chocolate Lovers Treat.,168,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Mixed Berry Shake ,A Blend Of Canilla Ice Icream With Strawberry And Blueberries,168,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Marshmallow Chocolate Shake,A Blend Of Chocolate Ice Cream With Marshmallows Kids Love It,168,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Cold Coffee Shake,A Blend Of Freeze Dried Coffee With Ice Cream,115.5,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Mango,Fresh Mango Pulp Blended With Ice Cream,99.75,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,,
BOOMERANG,Black Forest Dream,Loads Of Classic Choco Vanilla Softy Placed On Fresh Blackforest Cake With Swirls Of Fudge Sauce And Topped With Roasted Cashew,294,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Take Home Packs,,0,,3,
BOOMERANG,Fruit & Sundae,Loads Of Classic Vanilla Softy Generoulsy Topped With A Decadent Variety Of Resh Fruits And Wholesome Nuts Garnishews With Strawberry Sauce,294,,,,5,Veg,11.00AM ,11.00PM,,,,,,,"1,2,3,4,5,6,7",1,,Take Home Packs,,0,,,
