restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BUNKERS POINT,Veg Manchurian Dry,,80,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,1
BUNKERS POINT,Gobi Manchurian Dry,,80,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
BUNKERS POINT,Gobi Chilly Dry,,80,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
BUNKERS POINT,Baby Corn Chilly Dry,,80,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
BUNKERS POINT,Aloo Chilly Dry,,80,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
BUNKERS POINT,Mushroom Chilly  Dry,,85,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
BUNKERS POINT,Mushroom Manchurian Dry,,85,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
BUNKERS POINT,Gobi 65 Dry,,90,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
BUNKERS POINT,Aloo 65 Dry,,90,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,9
BUNKERS POINT,Paneer Chilly Dry,,110,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,10
BUNKERS POINT,Paneer Manchurian Dry,,110,,,,3,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,11
