restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
BABY RESTAURANT - NON VEG,Chicken Briyani,,140,7,Non Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
BABY RESTAURANT - NON VEG,Mutton Briyani,,160,8,Non Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
BABY RESTAURANT - NON VEG,Kushka,,70,3.5,Non Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
BABY RESTAURANT - NON VEG,Egg Biriyani,,80,4,Non Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
BABY RESTAURANT - NON VEG,Chicken Corn Soup,,90,4.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
BABY RESTAURANT - NON VEG,Chicken Noodle Soup,,90,4.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
BABY RESTAURANT - NON VEG,Chicken Chettinadu Soup,,90,4.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
BABY RESTAURANT - NON VEG,Chicken Hot and Sour Soup,,90,4.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
BABY RESTAURANT - NON VEG,Chicken Manchow Soup,,90,4.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
BABY RESTAURANT - NON VEG,Mutton Chettinadu Soup,,100,5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
BABY RESTAURANT - NON VEG,Double Omelette,,60,3,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Dishes,,0,
BABY RESTAURANT - NON VEG,Egg Bhurji,,50,2.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Dishes,,0,
BABY RESTAURANT - NON VEG,Egg Omelette,,30,1.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Dishes,,0,
BABY RESTAURANT - NON VEG,Masala Omelette,,70,3.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Dishes,,0,
