restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Bangs Fried Chicken,Egg Burger,,49,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Egg Burger with Fries + Pepsi,,118,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Popular Veg Burger,,89,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Popular Veg Burger with Fries + Pepsi,,158,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Bangs Mini Veggie,,35,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Bangs Mini Veggie with Fries + Pepsi,,104,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Masala Tikki burger,,69,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,MASALA_TIKKI_BURGER.jpeg,Burgers,,1,
Bangs Fried Chicken,Masala Tikki burger with Fries + Pepsi,,138,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Paneer Burger,,109,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Paneer Burger with Fries + Pepsi,,178,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Mini Big Bang Burger,,49,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Mini Big Bang Burger with Fries + Pepsi,,118,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Bangs Chicken Burger,,99,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,BANGS_CHICKEN_BURGER.jpeg,Burgers,,1,
Bangs Fried Chicken,Bangs Chicken Burger with Fries + Pepsi,,168,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Bangs Fish Burger,,119,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Bangs Fish Burger with Fries + Pepsi,,188,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Big Bang Burger,,119,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Big Bang Burger with Fries + Pepsi,,188,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
Bangs Fried Chicken,Kids Choice 4Pcs,,59,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kids Choice,,0,
