restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
BASKIN ROBBINS,Banana Caramel Small Scoop,,62,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Small Scoop,,0,
BASKIN ROBBINS,Banana Caramel Regular Scoop,,93,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Regular Scoop,,0,
BASKIN ROBBINS,Banana Caramel Double Scoop,,124,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Double Scoop,,0,
BASKIN ROBBINS,Banana Caramel Family Pack,,240,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Family Pack,,0,
BASKIN ROBBINS,Banana Caramel Happyness Pack,,471,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Happyness Pack,,0,
BASKIN ROBBINS,Splish Splash Small Scoop,,62,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Small Scoop,,0,
BASKIN ROBBINS,Splish Splash Regular Scoop,,93,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Regular Scoop,,0,
BASKIN ROBBINS,Splish Splash Double Scoop,,124,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Double Scoop,,0,
BASKIN ROBBINS,Splish Splash Family Pack,,240,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Family Pack,,0,
BASKIN ROBBINS,Splish Splash Happyness Pack,,471,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Happyness Pack,,0,
BASKIN ROBBINS,Vanilla Small Scoop,,62,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Small Scoop,,0,
BASKIN ROBBINS,Vanilla Regular Scoop,,93,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Regular Scoop,,0,
BASKIN ROBBINS,Vanilla Double Scoop,,124,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Double Scoop,,0,
BASKIN ROBBINS,Vanilla Family Pack,,240,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Family Pack,,0,
BASKIN ROBBINS,Vanilla Happyness Pack,,471,5,Veg,8:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Delight-Happyness Pack,,0,
