restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Berry's Bistro,Fried Gujon of Fish,,253,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,South Indian Style Spicy Chicken Lollypop,,190,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Crispy Fried Chicken Strips,,190,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Hot BBQ Chicken Wings,,190,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Chicken Salay,,190,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Jalapeno Poppers,,190,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Murgh Kaati Roll Kebab,,243,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Crispy Fried Calamari Rings,,253,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Italian Zucchini Fritters,,190,10,Non Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Brownie Shocker,,137,0,Veg,12:01PM,10:00PM,1,,Concoctions,,0,
Berry's Bistro,Red Velvet Blast,,147,0,Veg,12:01PM,10:00PM,1,,Concoctions,,0,
Berry's Bistro,Funky Monkey,,137,0,Veg,12:01PM,10:00PM,1,,Concoctions,,0,
Berry's Bistro,Peanut Butter Smoothie,,147,0,Veg,12:01PM,10:00PM,1,,Concoctions,,0,
Berry's Bistro,Oreo Smoothie,,137,0,Veg,12:01PM,10:00PM,1,,Concoctions,,0,
Berry's Bistro,Tempura Fried Cottage Cheese,,190,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Panneer Khati Roll Kebab,,243,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Cheesy Peperonata En Croute,,138,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Baby Corn Salt & Pepper,,127,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Aloo Tikki Chat,,117,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Oriental Style Golden Fried Broccoli Florets,,211,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,French Fries,,164,10,Veg,12:01PM,10:00PM,1,,Starters,,0,
Berry's Bistro,Mozzarella Stuffed Mushroom Fry,,127,10,Veg,12:01PM,10:00PM,1,,Main Course,,0,
