restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BOMBAY RESTAURANT,Plain Roat(2pcs),,30,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,1
BOMBAY RESTAURANT,Ghee Rotti (1pc),,20,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,2
BOMBAY RESTAURANT,Butter Rotti(1pc),,20,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,3
BOMBAY RESTAURANT,Alu Paratha,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,4
BOMBAY RESTAURANT,Spl.Alu Cheese Paratha,,80,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,5
BOMBAY RESTAURANT,Gobi Paratha,,60,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,6
BOMBAY RESTAURANT,Panner paratha,,85,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,7
BOMBAY RESTAURANT,Panner Cheese Paratha,,95,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,8
BOMBAY RESTAURANT,Mehthi Paratha,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,9
BOMBAY RESTAURANT,Onion Paratha,,60,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,10
BOMBAY RESTAURANT,Mushroom Paratha,,80,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,11
BOMBAY RESTAURANT,Mix Paratha,,80,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Panjabi Parotta,,0,,1,12
