restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
C9 BISTRO,Chicken Steak With Creamy Mash,Boneless Chicken Fillet Steak Grilled Perfect And Served With Creamy Mash,278.25,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,1
C9 BISTRO,Chicken Stroganoff Sizzler,Juicy Chicken Cooked In A Sour Cream Just With Pimiento Peppers And Served Sizzling,409.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,2
C9 BISTRO,Grilled Fish W Lemon Butter Sauce,Basa Fish Pan Seared With A Creamy Lemon Butter Sauce And Honey Glazed Vegetables,409.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,3
C9 BISTRO,Chicken Loco Moco Sizzler,Minced Chicken Patties Grilled And Topped With A Black Pepper And Butter Sauce And Topped With A Fried Egg!,430.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,4
C9 BISTRO,C9 Veg Sizzler,The Goodbess Of Vegetables Grilled To Perfection And Let To Sizzle With Copious Scoops Of Fresh Butter,414.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,5
C9 BISTRO,Noodle In A Bowl With Veg,Stir Fry Noodle With Vegetables And Tossed To Perfection In Our Spicy Asian Sauce And Served Up In A Bowl Comfort,231,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,6
C9 BISTRO,Noodle In A Bowl With Chicken,Stir Fry Noodle With Chicken And Tossed To Perfection In Our Spicy Asian Sauce And Served Up In A Bowl Comfort,252,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,,1,7
C9 BISTRO,Peri Peri French Fries,"Crispy And Juicy French Fries With A Twist, Now Comes Dusted With A Peri Peri Spice Rub Served With Sweet Chilli Mayo!",168,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,1
C9 BISTRO,Honey Garlic Wings,Sticky Giazed Wings Cooked Slow And Tossed In A Sweet Hony And Garlic,241.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,2
C9 BISTRO,Chilli Prawn With Garlic,"This Asian Classic Is Great Anytime, Juicy Prawns Flash Fried And Mopped Up With Our Garlic Hinted Sauce",409.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,3
C9 BISTRO,Chicken Tender With Honey Mustard Sauce,Strips Of Crispy Tenders Served With Honey Mustard Sauce For A Great Bite,309.75,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,4
C9 BISTRO,Butter Garlic Mushroom With Cilantro,Look No Further For A Great Marriage Of Plump Button Mushrooms And The Goodness Of Buttered Garlic And Fresh Cilantro,236.25,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,5
C9 BISTRO,Spicy Asian Baby Corn,Snack In Bowl With Asian Flavours Done To Perfection. Crispy Baby Corn Tossed And Served Up On A Bed Of Cabbage,236.25,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,6
C9 BISTRO,Spicy Asian Chicken,This Snack In Bowl Has Asian Flavours Done To Perfection. Chicken Strips Tossed Sauvy And Served Up On A Bed Of Cabbage,288.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,7
C9 BISTRO,Spicy Asian Prawns,This Snack In Bowl Has Asian Flavours Done To Perfection. Juicy Prawns Tossed In A Sauce And Served Up On A Bed Of Cabbage,409.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,,2,8
C9 BISTRO,Penne Alfredo Veg,Pasta In A Cream Sauce Served Classic With Cheesy Garlic Is A Turn On For Any Pasta Lover,288.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,1
C9 BISTRO,Penne Alfredo Chicken,"Pasta In A Cream Sauce Served Classic With Cheesy Garlic And Chicken Chunks Is A Turn On For Any For Any Pasta Lover, Anytime",325.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,2
C9 BISTRO,Red Curry Penne Veg,East Meets West In This Platter. Thai Red Curry Hints Combine With The Best Of The West For An Interesting Outcome Of Flavour,309.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,3
C9 BISTRO,Red Curry Penne Chicken,Hints Of Thai Red Curry Combine With The Best Of The West With Chicken For Company For An Intersting Outcome Of Flavour,336,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,4
C9 BISTRO,Arrabbiata Chicken,"Pasta Served Sauvy With Fresh Tomato Puree, Chilly, Peppers, Ev Olive Oil And Juicy Chicken. The Best From Lazio!",325.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,5
C9 BISTRO,Penne Masala Mafia Veg,Penne Pasta Strikes Balance For The Modified Indian Palette.. Red Sauve And White Sauce Combine To A Mafla Experience,346.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,6
C9 BISTRO,Penne Masala Mafia Chicken,Pasta Strikes Balance For The Modified Indian Palette.. Red Sauce And White Sauve And Bursts Of Juicy Chicken Combine To A Mafia Experence,346.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,,3,7
C9 BISTRO,Frappe,,105,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,1
C9 BISTRO,Cold Coffee,,105,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,2
C9 BISTRO,Caramel Ice Coffee,,126,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,3
C9 BISTRO,Lemon Tea,,94.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,4
C9 BISTRO,Peach Ice Tea,,105,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,5
C9 BISTRO,Strawberry Ice Tea,,105,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,6
C9 BISTRO,Pink Lemonad,,94.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,7
C9 BISTRO,Bottle Water 500Ml,,10.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,8
C9 BISTRO,Black Pepsi Can 250Ml,,36.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,9
C9 BISTRO,Gatorade 500Ml,,57.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverages,,0,,4,10
C9 BISTRO,Oreo Cookie,,168,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,5,1
C9 BISTRO,Chocolate Malt,,168,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,5,2
C9 BISTRO,Peanut Butter And Sea Salt,,168,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,5,3
C9 BISTRO,Strawberry,,168,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,5,4
C9 BISTRO,Banana With Hazelnut Coco,,168,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,5,5
C9 BISTRO,Grilled Chicken Burger With French Fries,"Chicken Palty Grilled And Served With Cheese, Lettuce And Juicy Tomatoes",294,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers & Rolls,,0,,6,1
C9 BISTRO,Chicken Asian Butter With French Fries,Asian Sauces Tossed With Juicy Chicken And Tucked Into Soft Buns For A Flavour Filled Munch,283.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers & Rolls,,0,,6,2
C9 BISTRO,Crispy Chicken Burger With French Fries,"Tender Chicken That'S Breaded And Fried Crispy, Served Up With The Classic Filling In A Soft Bun",283.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers & Rolls,,0,,6,3
C9 BISTRO,Caribbean Jerk Chicken Roll,"Native All Spice And Peppers Marinade Dry Rubbed With Chicken, Grilled And Rolled Into A Delicious Homemade Roll",199.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers & Rolls,,0,,6,4
C9 BISTRO,Paneer Mexican Roll,"For The Vegetarian, It'S A Medley Of Cottage Cheese And More On A Roll!",199.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers & Rolls,,0,,6,5
C9 BISTRO,Paneer Mexican Burger With French Fries,"Mild Lose Soft Cottage Cheese Breaded And Fried Crispy, Served Up With The Classic Filling In A Soft Bun",257.25,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers & Rolls,,0,,6,6
C9 BISTRO,Peri Peri Chicken Sandwich,Chicken Grilled With Peri Peri Spice And Bundled Into Fresh Bread And Grilled To Your Choice,231,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,7,1
C9 BISTRO,Bomby Sandwich,"This Is Nostalgia In A Bite, Just Chomp Into The Old School Goodness You'Ve Grown Up With",157.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,7,2
C9 BISTRO,Cucumber Tomato Sandwich,"Bread Smothered With Delicious Butter, With Cucumber And Tomato For Perfect Company",157.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,7,3
C9 BISTRO,Ceaser Salad Chicken,"Summer In A Bowl, This Classic Has No Spins, Just Great Flavours To Relish And Enjoy With Juicy Chicken Bits",136.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,,8,1
C9 BISTRO,Mock Greek Salad,"Extra Virgin Olive Oil, Herbs And Lemon Combice Together With Fresh Cottage Cheese To Lend That Freshness To Make It A Perect Accompaniment",183.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,,8,2
C9 BISTRO,Mixed Green Tomato And Onion Salad,"Nothing More, Nothing Less - The Goodness Of The Freshest Vegetabels And Combined With Simple Herbs. Light N Mighty",126,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,,8,3
C9 BISTRO,Caesar Salad Veg,"Fresh Lettuce That'S Creamy And Bursting With Flavours Of Mustard, Cloves And Lemon Juice",126,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,,8,4
C9 BISTRO,Classic Margherita,"All Time Favourite, Cheesy Goodness With Fresh Tomato Sauce And Organic Basil",262.5,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,1
C9 BISTRO,C9 Bistro Mix Grilled Vegetarian Pizza,Our Chefs Take With Flavour Packed Grilled Veggies And Topped On A Base Lathered With Roasted Tomato Puree,288.75,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,2
C9 BISTRO,Hawaii Veg Pizza,"This Is Goodness All Around, When Cheese, Pineapple Chunks And Tomato Combine With Spanish Olives And Onions",273,,,,10,0,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,3
C9 BISTRO,Peri Peri Chicken With Sun-Dried Tomatoes And Olives,"Can'T Go Wrong On This One, A Spiced Pizza With Chicken, Cheese And Sun-Dried Tomato",309.75,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,4
C9 BISTRO,Hawaii Chicken Pizza,"That’S Is Goodness All Around, When Cheese, Sweet Pineapple Chunks Combine With Spanish Olives And Juicy Chicken",304.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,5
C9 BISTRO,Caribbean Jerk Chicken Pizza,"Native All Spice And Peppers Marinade Dry Rubbed With Chicken, Grilled And Topped Onto Our Hand Tossed Pizza And Perfectly Baked",304.5,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,6
C9 BISTRO,Chicken Mexian Pizza,"Pizza With Jalapenos, Tomato, Cumin Dust And Peppers Baked In Wood Fried Oven And With Chicken In Tow!",309.75,,,,10,0,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza,,0,,9,7
