restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
C9 BISTRO,Asian Tuna Slaw In A Grilled Brioche Bread,"Juicy Slaw With Hints Of Asian Dressing Of With Light Soy, Vinegar And Pulled Tuna And Mozzarella Cheese",199.5,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Panini,,0,
C9 BISTRO,Grilled Mushroom With Sundried Tomato And Cheese,Fresh Mushrooms Delicately Grilled In A Pizza Base With Sundried Tomatoes And Cheese,199.5,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Panini,,0,
C9 BISTRO,Caesar Salad Veg,"Leafy Green Salad Served With Garlic, Lemon And Mustard Dressing And Topped With Parmesan Cheese And Croutons",94.5,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
C9 BISTRO,Caesar Salad Chicken,"Leafy Green Salad Served With Garlic, Lemon And Mustard Dressing And Topped With Parmesan Cheese And Chicken",105,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
C9 BISTRO,Veg Classic Margherita Pizza ,Fresh Tomato Puree And Cheese With Mozzarella Cheese ,241.5,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizzas,,0,
C9 BISTRO,Veg Pizza Tri Bell,Three Kinds Of Bell Peppers With Mozzarella Cheese,231,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizzas,,0,
C9 BISTRO,C9 Bistro Mix Vegeterian Pizza,Pesto Panner With Corn And The Works,252,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizzas,,0,
C9 BISTRO,Creamy Pesto Chicken Pizza,Mixed Herb Marinated Chicken With  Mozzarella On A Thin Crust,288.75,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizzas,,0,
C9 BISTRO,Peri Peri Chicken With Sun-Dried Tomatoes And Olives,"Marinated Peri Peri Chicken Grilled With Sun-Dried Tomatoes, Olives And Cheese",278.25,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizzas,,0,
C9 BISTRO,Chicken Mushroom Corn Pizza,"Italian Herb Marinated Chicken With Mushroom, Corn And Cheese ",299.25,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizzas,,0,
C9 BISTRO,Chicken Steak With Creamy Mash,Boneless Chicken Steak With Mash And Mushroom Pepper Sauce,252,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,
C9 BISTRO,Chicken Stroganoff With Rice,Juicy Chicken Pieces Cooked In Sour Cream Sauce With Gherkins And Served With Rice,304.5,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,
C9 BISTRO,Noodle In A Bowl With Fresh Veg,Stir Fry Noodle With Vegeyables Tossed With Asian Sauces,183.75,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,
C9 BISTRO,Noodle In A Bowl With Chicken,Stir Fry Noodle With Chicken And Tossed In A Spicy Asain Sauce,199.5,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,
C9 BISTRO,Grilled Fish In Lemon-Butter Sauce,Basa Fish Pan Seared With A Creamy Lemon Butter Sauce And Honey Glazed Vegetables ,304.5,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Course,,0,
C9 BISTRO,Garlic Bread,Toasted Bread Coated With Dollops Of Garlic Butter,115.5,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,
C9 BISTRO,Nachos And Cheese With Vegetables,"Tortilla Chips With Refried Beans And Jalapenos With Melted Cheese, Topped With Salsa And Sour Cream",126,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,
C9 BISTRO,Vegeterian Quesadillas,"Pan Grilled Tortillas With Cheese, Refried Beans And Jalapenos",231,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,
C9 BISTRO,Prawns Gamba Pri Pil,Sauteed Prawns Perfectly Done In Olive Oil And Garlic With Chilli Flakes Servered With Garlic Bread ,393.75,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,
C9 BISTRO,Bbq Chicken Wings,Wings Cooked Slow And Tossed In A Sweet Bbq Sauce,220.5,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,
C9 BISTRO,Chicken Quesadillas,Pan Grilled Tortillas With Cheese And Shredded Chicken,262.5,10,Non Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Easy Bites,,0,
C9 BISTRO,Alfredo And Mushroom,Penne Tossed In A Classic Italian Alfredo Sauce With Button Mushroom,231,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
C9 BISTRO,Arrabbiata Veg,Penne Tossed In A Basil Tomato Garlic Sauce With Vegetables,231,10,Veg,11:00AM,10:45PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
