restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Uppukari 1/2Kg,Order Before 3 Hours,425,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,1
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Varuval 1/2Kg,Order Before 3 Hours,450,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,2
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Uppukari 1Kg,Order Before 3 Hours,850,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,3
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Varuval 1Kg,Order Before 3 Hours,900,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,4
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Uppukari,,180,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,5
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Varuval,,180,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,6
CHANDRU'S GRAMIYA VIRUNTHU,Mutton Gola Urundai,,30,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Specials,,0,,3,7
CHANDRU'S GRAMIYA VIRUNTHU,Nattukozhi Varuval 1/2Kg,Order Before 3 Hours,425,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,2,1
CHANDRU'S GRAMIYA VIRUNTHU,Nattukozhi Uppukari 1/2Kg,Order Before 3 Hours,400,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,2,2
CHANDRU'S GRAMIYA VIRUNTHU,Nattukozhi Varuval 1Kg,Order Before 3 Hours,850,,,,0,0,Non Veg,12:30PM,05:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,2,3
