cat_name,root_id,entry_by
Briyani,0,0
Starters Dry,0,0
Soups,0,0
Fried Rice,0,0
Starters,0,0
Mutton Dishes,0,0
Tandoori Dishes,0,0
Indian - Chicken Gravy,0,0
Noodles,0,0
Gravy - Chinese Chicken,0,0
SeaFoods,0,0
Indian Breads,0,0
Gravy - Vegetarian,0,0
Salads,0,0
Special,0,0
VadaPav,0,0
Rolls,0,0
Sides,0,0
Deserts,0,0
"BreakFast, Lunch & Dinner",0,0
Lunch,0,0
Dinner,0,0
Desserts,0,0
Lassi,0,0
Falooda,0,0
Kulfi,0,0
Protein,0,0
Ice Cream,0,0
Mocktails,0,0
Smoothie,0,0
Cold Coffee,0,0
Fresh Juice,0,0
Arabian Grilled,0,0
Alfaham,0,0
Arabian Grilled,0,0
Barbaque,0,0
Fried Rice,0,0
Schezwan Fried Rice,0,0
Pasta,0,0
Burgers,0,0
Sandwich,0,0
Pizza,0,0
Mojitos,0,0
Shakes,0,0
Shawarma,0,0
