restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
CHAAT KITCHEN (Pure Veg),Chapathi 6 Pcs + Paneer Butter Masala,,250,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chapathi Combo,,0,,1,1
CHAAT KITCHEN (Pure Veg),Chapathi 6 Pcs + Palak Paneer + Dhal Fry,,225,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chapathi Combo,,0,,1,2
CHAAT KITCHEN (Pure Veg),Chapathi 3 Pcs + Palak Paneer + Dhal Fry,,165,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chapathi Combo,,0,,1,3
CHAAT KITCHEN (Pure Veg),Chapathi 2 Pcs + Paneer Butter Masala,,130,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chapathi Combo,,0,,1,4
CHAAT KITCHEN (Pure Veg),Chapathi 2 Pcs + Chana Masala,,100,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chapathi Combo,,0,,1,5
CHAAT KITCHEN (Pure Veg),Naan 2 Pcs + Paneer Butter Masala,,240,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Combo,,0,,2,1
CHAAT KITCHEN (Pure Veg),Naan 2 Pcs + Gobi Manchurian Gravy,,230,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Combo,,0,,2,2
CHAAT KITCHEN (Pure Veg),Naan 1 Pc + Fried Rice + Gobi Manchurian + Paneer Butter Masala,,360,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Combo,,0,,2,3
CHAAT KITCHEN (Pure Veg),Butter Naan 2 Pcs + Paneer Butter Masala,,280,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Combo,,0,,2,4
CHAAT KITCHEN (Pure Veg),Garlic Naan 2 Pcs + Kadai Veg + Mushroom Masala,,270,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Combo,,0,,2,5
CHAAT KITCHEN (Pure Veg),Jeera Rice + Dhal Fry + Chapathi 2 Pcs + Bhindi Fry,,210,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,1
CHAAT KITCHEN (Pure Veg),Veg Rice + Gobi Manchurian Gravy,,210,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,2
CHAAT KITCHEN (Pure Veg),Jeera Rice + Dhal Fry,,155,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,3
CHAAT KITCHEN (Pure Veg),Paneer Rice + Gobi Manchurian Gravy,,220,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,4
CHAAT KITCHEN (Pure Veg),Paneer Rice + Gobi Manchurian Gravy + PB Masala + Butter Rotti 2 Pcs,,385,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,5
CHAAT KITCHEN (Pure Veg),Paneer Rice + Gobi Manchurian Gravy + PB Masala + Butter Naan 2 Pcs,,420,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,6
CHAAT KITCHEN (Pure Veg),Schezwan Rice + Babycorn Manchurian Gravy,,240,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,7
CHAAT KITCHEN (Pure Veg),Schezwan Noodles + Chilli Gobi Gravy,,185,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,8
CHAAT KITCHEN (Pure Veg),Schezwan Paneer Noodles + Chilli Gobi Gravy,,250,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice / Noodles Combo,,0,,3,9
CHAAT KITCHEN (Pure Veg),Paneer Paratha 1 Pc + Mushroom Masala + Channa Masala,,235,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Paratha / Roti Combo,,0,,4,1
CHAAT KITCHEN (Pure Veg),Aloo Paratha 1 Pc + Paneer Butter Masala + Mushroom Masala,,235,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Paratha / Roti Combo,,0,,4,2
CHAAT KITCHEN (Pure Veg),Tandoori Roti 2 Pcs + Mushroom Masala + Paneer Butter Masala,,250,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Paratha / Roti Combo,,0,,4,3
CHAAT KITCHEN (Pure Veg),Pav Bhaji,,65,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pav Bhaji Special,,0,,5,1
CHAAT KITCHEN (Pure Veg),Paneer Pav Bhaji,,90,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pav Bhaji Special,,0,,5,2
CHAAT KITCHEN (Pure Veg),Mushroom Pav Bhaji,,85,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pav Bhaji Special,,0,,5,3
CHAAT KITCHEN (Pure Veg),Cheese Pav Bhaji,,115,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pav Bhaji Special,,0,,5,4
