restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
CHEAP AND BEST,Veg Briyani,,70,0,Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Gobi Briyani,,80,0,Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Paneer Briyani,,80,0,Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Mushroom Briyani,,80,0,Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Egg Briyani,,80,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Hyderabad Chicken Briyani,,100,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Singapore Chicken Briyani,,100,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Classic Chicken Briyani,,100,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Punjabi Chicken Briyani,,120,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Ramba Chicken Briyani,,120,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Spl Bonless Chicken Briyani,,150,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Tandoori Chicken Briyani,,150,0,Non Veg,11:30AM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
CHEAP AND BEST,Normal Chicken Shawarma Roll,,70,0,Non Veg,4:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma,,0,
CHEAP AND BEST,Mexican Chicken Shawarma Roll,,80,0,Non Veg,4:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma,,0,
CHEAP AND BEST,Special Chicken Shawarma Roll,,90,0,Non Veg,4:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma,,0,
CHEAP AND BEST,Normal Chicken Shawarma Plate,,80,0,Non Veg,4:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma,,0,
CHEAP AND BEST,Mexican Chicken Shawarma Plate,,90,0,Non Veg,4:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma,,0,
CHEAP AND BEST,Special Chicken Shawarma Plate,,100,0,Non Veg,4:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma,,0,
CHEAP AND BEST,Gobi Roll,,60,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rolls,,0,
CHEAP AND BEST,Mushroom Roll,,70,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rolls,,0,
CHEAP AND BEST,Paneer Roll,,70,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rolls,,0,
CHEAP AND BEST,Egg Roll,,50,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rolls,,0,
CHEAP AND BEST,Chicken Roll,,70,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rolls,,0,
CHEAP AND BEST,Double Egg Chicken Roll,,80,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rolls,,0,
