restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
China Town,China Town Special Soup,,89.25,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Special Corn Soup,,89.25,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Special Jet Corn Soup,,89.25,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Special Monchow Soup,,89.25,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Special Veg. Monchow Soup,,78.75,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Sweet Corn  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Sweet Corn  Soup,,68.25,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Ball  Soup,,63,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Noodle  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken & Prawn Noodle  Soup,,78.75,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Clear  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Clear  Soup,,73.5,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Hot & Sour  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Hot & Sour  Soup,,73.5,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Tom Yam  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Tom Yam  Soup,,73.5,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Wanton  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Wanton  Soup,,73.5,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Mushroom  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken Mushroom  Soup,,73.5,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Tomato Mushroom  Soup,,63,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Chicken & Crispy Rice Mushroom  Soup,,73.5,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Vegetable Lung Fung  Soup,,73.5,5,Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
China Town,Lung Fung Soup,,78.75,5,Non Veg,,,,,12:00PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
