restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
China Town,China town,,89.25,5,Veg,12:00:00pm,10:30:00pm,1,,Special Soups,,0,
China Town,Corn Soup,,89.25,5,Veg,12:00:00pm,10:30:00pm,1,,Special Soups,,0,
China Town,Jet Corn,,89.25,5,Veg,12:00:00pm,10:30:00pm,1,,Special Soups,,0,
China Town,Monchow Soup,,89.25,5,Veg,12:00:00pm,10:30:00pm,1,,Special Soups,,0,
China Town,Veg. Monchow Soup,,78.75,5,Veg,12:00:00pm,10:30:00pm,1,,Special Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Sweet Corn Soups,,0,
China Town,Chicken,,68.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Sweet Corn Soups,,0,
China Town,Chicken,,63,5,Non Veg,12:00:00pm,10:30:00pm,1,,Ball Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Noodle Soups,,0,
China Town,Chicken & Prawn,,78.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Noodle Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Clear Soups,,0,
China Town,Chicken,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Clear Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Hot & Sour Soups,,0,
China Town,Chicken,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Hot & Sour Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Tom Yam Soups,,0,
China Town,Chicken,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Tom Yam Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Wanton Soups,,0,
China Town,Chicken,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Wanton Soups,,0,
China Town,Vegetable,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Mushroom Soups,,0,
China Town,Chicken,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Mushroom Soups,,0,
China Town,Tomato Soup,,63,5,Veg,12:00:00pm,10:30:00pm,1,,Mushroom Soups,,0,
China Town,Chicken & Crispy Rice Soup,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Mushroom Soups,,0,
China Town,Vegetable,,73.5,5,Veg,12:00:00pm,10:30:00pm,1,,Lung Fung Soup,,0,
China Town,Lung Fung,,78.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Lung Fung Soup,,0,
China Town,Mutton Bone Soup,,94.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Lung Fung Soup,,0,
China Town,Vegetable,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Chicken,,152.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Dragon Rolls,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Spider Rolls,,173.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Drums of Heaven,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Coal Man Pepper Chicken,,420,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Julienne Chicken,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Julienne Fish,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Sweeing Prawn,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Dragon Chicken,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Bullet Chicken,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,Golden Fried Pancake Roll,,0,
China Town,Vegetable,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Fried Wantons,,0,
China Town,Chicken,,147,5,Non Veg,12:00:00pm,10:30:00pm,1,,Fried Wantons,,0,
China Town,Chicken,,147,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Fish,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Prawns,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Fish & Chips,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Chinese Fried Fish,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Korea Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,555 Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Kozhi Varuval,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Fish Fingers,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Paneer Fingers,,147,5,Veg,12:00:00pm,10:30:00pm,1,,Gold Coins,,0,
China Town,Pork ,,210,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Prawns,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Chicken ,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Cauliflower,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Dimsum (Momo’s),,147,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Pork Fried Balls,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Beef Fried Balls,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Lamb Fried Balls,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Salt & Pepper,,0,
China Town,Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Prawns,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Vegetable Crispy,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Croket Vegetable,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,French Fries,,115.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Chinese Fried Vegetables,,147,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Sauted Mushroom with Spring Onion,,168,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Corn on Toast,,147,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Roast Papad,,42,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Masala Papad,,52.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,Baby Corn in Hot Pepper,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,Pakoda,,0,
China Town,China Town Special Noodles,,204.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,RICE & NOODLES,,0,
China Town,China Town Special Rice ,,204.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,RICE & NOODLES,,0,
China Town,Yang Chow Noodles,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,RICE & NOODLES,,0,
China Town,Yang Chow fried rice,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,RICE & NOODLES,,0,
China Town,Chicken,,136.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Mixed,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Egg,,131.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Mushroom,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Vegetable,,120.75,5,Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Prawn,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Pork,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Ginger Chicken,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Lamb,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chinese Fried Rice / Noodles,,0,
China Town,Egg,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Szechwan Fried Rice / Noodles,,0,
China Town,Chicken,,152.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Szechwan Fried Rice / Noodles,,0,
China Town,Mixed,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Szechwan Fried Rice / Noodles,,0,
China Town,Vegetable,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Szechwan Fried Rice / Noodles,,0,
China Town,Egg,,141.75,5,Non Veg,12:00:00pm,10:30:00pm,1,,Singapore Fried Rice/Noodles,,0,
China Town,Mixed,,152.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Singapore Fried Rice/Noodles,,0,
China Town,Vegetable,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Singapore Fried Rice/Noodles,,0,
China Town,Steamed Rice & Vegetables in Sauce,,168,5,Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Veg. Triple Szechwan Fried Rice,,147,5,Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Triple Szechwan Fried Rice,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Don Mein,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Peking Noodles,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Peking Rice,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Hong Kong Noodles,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,China Town Special Chopsuey,,231,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,China Town Special Chow Mein,,294,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,American Mixed Chopsuey,,152.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Chinese Mixed Chopsuey,,152.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,American Vegetable Chopsuey,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Chinese Vegetable Chopsuey,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,Rice & Noodles,,0,
China Town,Mixed Chow Mein,,152.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chow Mein,,0,
China Town,Vegetable Chow Mein,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,Chow Mein,,0,
China Town,Egg Chow Mein,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chow Mein,,0,
China Town,Chicken Chow Mein,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Chow Mein,,0,
China Town,Chicken Briyani,,147,5,Non Veg,12:00:00pm,10:30:00pm,1,,Briyani,,0,
China Town,Egg Briyani,,136.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Briyani,,0,
China Town,Mutton Briyani,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Briyani,,0,
China Town,Prawn Briyani,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Briyani,,0,
China Town,Chicken Pulao,,147,5,Non Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Prawn Pulao,,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Mutton Pulao,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Veg Pulao,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Green Peas Pulao,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Paneer Pulao,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Steamed Rice,,73.5,5,Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,Day Special,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,Pulao,,0,
China Town,China Town Special Chicken,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Chicken & Mushroom,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Diced Chicken & Cashew nuts,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Shredded Chicken Green Pepper Creamy Garlic,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Chicken in Lemon Sauce,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Sweet & Sour ,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Garlic Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Canton Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Manchurian Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Szechwan Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Ginger Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Chilli  Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Hong Kong Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Hunan Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Spicy Honey Chicken,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Diced Chilli chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Chicken in Jade Sauce,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Ching Mein Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Chung King Chicken,,157.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Chicken in Hot Pepper (Dry),,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Singapore Chicken (Dry),,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,CHICKEN,,0,
China Town,Szechwan Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Manchurian Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Ginger Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Chilli Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Spicy Honey Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Beef in Hot Pepper (Dry),,178.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Garlic Beef,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Beef in Jade Sauce,,168,5,Non Veg,12:00:00pm,10:30:00pm,1,,BEEF,,0,
China Town,Omelette,,63,5,Non Veg,12:00:00pm,10:30:00pm,1,,EGG,,0,
China Town,Fried Egg,,68.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,EGG,,0,
China Town,Egg Bhujia,,73.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,EGG,,0,
China Town,Egg Masala,,110.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,EGG,,0,
China Town,Egg Moli,,110.25,5,Non Veg,12:00:00pm,10:30:00pm,1,,EGG,,0,
China Town,Shredded Pork with Green Pepper,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Sliced Pork with Vegetables,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Sweet & Sour Pork,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Garlic Pork,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Roast Pork Canton,,210,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Ginger Pork,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Chilli Pork,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Manchurian Pork,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Szechwan Pork,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Roast Pork Chilly,,220.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,PORK,,0,
China Town,Fish in Jade Sauce,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Garlic Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Sweet & Sour Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Garlic Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Chilli Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Ginger Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Szechwan Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Manchurian Fish,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Mandarian Fish,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Fish Bell Pepper,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Garlic Prawns,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,FISH,,0,
China Town,Sweet & Sour Prawns,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Ginger Prawn,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Chilli Prawn,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Manchurian Prawn,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Szechwan Prawns,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Prawns & Mushroom,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Kung Pao Prawns,,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Prawn Taronest,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Prawns Volcano,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Taiwa Prawns,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Prawns in Mandarian style,,189,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Prawns in Hot Pepper (Dry),,199.5,5,Non Veg,12:00:00pm,10:30:00pm,1,,PRAWNS,,0,
China Town,Diced Vegetables & Cashew nuts,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,"Stir fried Vegetables, Mushroom",,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Vegetable Balls in Garlic Sauce,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Chilli Gobi,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Chilli Potato,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Chilli Mushroom,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Chilli Paneer,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Chilli Baby Corn,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Vegetable Manchurian,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Gobi Manchurian,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Mushroom Manchurian,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Paneer Manchurian,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Baby Corn Manchurian,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Spicy Honey Potato,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Sweet & Sour Vegetables,,131.25,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Paneer Taronest,,141.75,5,Veg,12:00:00pm,10:30:00pm,1,,VEGETABLES,,0,
China Town,Palak Paneer,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Green Peas Masala,,126,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Mushroom Masala,,126,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Stuffed Tomato,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Stuffed Capsicum ,,136.5,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Paneer Butter Masala,,126,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Kadai Paneer,,126,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Paneer Shahi Khorma,,126,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
China Town,Mutter Paneer,,126,5,Veg,12:00:00pm,10:30:00pm,1,,INDIAN DELICACIES VEGETABLES,,0,
