restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
CITY CAKES,Vannila Cake 1/2 Kg,,200,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,1,1
CITY CAKES,Chocolate  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,2,1
CITY CAKES,Honey  Cake 1/2 Kg,,220,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,3,1
CITY CAKES,Strawberry  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,3,1
CITY CAKES,Pineapple  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,4,1
CITY CAKES,Mango  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,5,1
CITY CAKES,Orange  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,5,1
CITY CAKES,Blueberry  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,6,1
CITY CAKES,Pista  Cake 1/2 Kg,,225,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,1,2
CITY CAKES,Butterscotch  Cake 1/2 Kg,,325,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,2,2
CITY CAKES,Vannila Cake 1 Kg,,400,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,3,2
CITY CAKES,Chocolate  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,4,2
CITY CAKES,Honey  Cake 1 Kg,,440,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,5,2
CITY CAKES,Strawberry  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,6,2
CITY CAKES,Pineapple  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,7,2
CITY CAKES,Mango  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,1,3
CITY CAKES,Orange  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,4,3
CITY CAKES,Blueberry  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,5,3
CITY CAKES,Pista  Cake 1 Kg,,450,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,3,4
CITY CAKES,Butterscotch  Cake 1 Kg,,650,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream,,0,,4,4
CITY CAKES,Black Forest Cake 1 Kg,,650,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,5,4
CITY CAKES,White Forest Cake 1 Kg,,650,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,6,4
CITY CAKES,German Forest Cake 1 Kg,,1000,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,7,4
CITY CAKES,Russian Forest Cake 1 Kg,,1000,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,1,5
CITY CAKES,Butterscotch(Nougat) Cake 1 Kg,,850,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,2,5
CITY CAKES,Strawberry Squash Cake 1 Kg,,850,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,2,5
CITY CAKES,Strawberry with fruit Cake 1 Kg,,950,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,1,1
CITY CAKES,Choco Truffle Cake 1 Kg,,850,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,3,1
CITY CAKES,Black currant Cake 1 Kg,,750,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,4,1
CITY CAKES,Blueberry Cake 1 Kg,,850,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,6,1
CITY CAKES,Blueberry with fruit Cake 1 Kg,,950,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,1,2
CITY CAKES,Pineapple Delight Cake 1 Kg,,750,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,2,2
CITY CAKES,Orange Punch Cake 1 Kg,,750,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,2,2
CITY CAKES,Mango Shine Cake 1 Kg,,750,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,3,2
CITY CAKES,Almond Honey Cake 1 Kg,,850,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,4,2
CITY CAKES,Red velvet Cake 1 Kg,,950,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,5,2
CITY CAKES,Blue velvet  Cake 1 Kg,,950,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,6,2
CITY CAKES,Caramel Cake 1 Kg,,850,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,1,4
CITY CAKES,Butterscotch(Nougat) Cake 1/2 Kg,,425,,,,0,0,Veg,09:00AM ,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream,,0,,2,4
