restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Curry Idly,Idly (3 Pieces),,30,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Idly.jpeg,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Dosa,,20,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Dosa.jpeg,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Mutton Dosa,,50,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Mutton Dosa.jpeg,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Egg Dosa,,30,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Egg Dosa.jpeg,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Podi Dosa,,30,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Paya Gravy,,100,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Fish Curry ,,70,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Keema Vada,,25,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Keema Vada.jpeg,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Naatu Kozhi Curry,,100,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Naatu Kozhi Curry.jpeg,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Mutton Curry,,100,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Dry Fish Curry,,70,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,Dry Fish Curry.JPEG,"BreakFast, Lunch & Dinner",,1,
Curry Idly,Kali/Keerai (Ragi Ball),,40,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Idiyappam (4Piece),,30,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Meals,,60,10,Veg,,,,,12:00PM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Curry Idly,Meals,,120,10,Non Veg,,,,,12:00PM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Curry Idly,Mutton Chops,,60,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",0,Mutton Chops.jpeg,Dinner,,1,
Curry Idly,Banana Leaf Fish,,160,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",0,,Dinner,,0,
Curry Idly,Fish Fry,,80,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dinner,,0,
Curry Idly,Prawn Fry,,140,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",0,,Dinner,,0,
Curry Idly,Crab Fry,,150,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",0,Crab Fry.JPEG,Dinner,,1,
Curry Idly,Squid Fry,,180,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",0,,Dinner,,0,
Curry Idly,Hot Sweet,,25,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,
Curry Idly,Cold Sweet,,40,5,Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,
Curry Idly,Mutton Fry,,140,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",0,,"BreakFast, Lunch & Dinner",,0,
Curry Idly,Naatukozhi Fry,,120,5,Non Veg,7:30 AM,10:30 PM,,,,,,,"1,2,3,4,5,6,7",0,,"BreakFast, Lunch & Dinner",,0,
