restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DARLING NAMMA VEEDU - WALAJA,Garlic Chicken,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,1
DARLING NAMMA VEEDU - WALAJA,Julienne Chicken,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,2
DARLING NAMMA VEEDU - WALAJA,Dragon Chicken,,220.5,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,3
DARLING NAMMA VEEDU - WALAJA,Ginger Chicken,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,4
DARLING NAMMA VEEDU - WALAJA,Rava Chicken,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,5
DARLING NAMMA VEEDU - WALAJA,Chilly Chicken,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,6
DARLING NAMMA VEEDU - WALAJA,Chicken Manchurian,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,7
DARLING NAMMA VEEDU - WALAJA,Hot Dragon Chicken,,220.5,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,8
DARLING NAMMA VEEDU - WALAJA,Shanghai Chicken,,210,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,9
DARLING NAMMA VEEDU - WALAJA,Chilly Prawn,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,10
DARLING NAMMA VEEDU - WALAJA,Golden Prawn,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,11
DARLING NAMMA VEEDU - WALAJA,Prawn Manchurian Dry,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,12
DARLING NAMMA VEEDU - WALAJA,Garlic Manchurian Dry,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,13
DARLING NAMMA VEEDU - WALAJA,Shanghai Prawn,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,14
DARLING NAMMA VEEDU - WALAJA,Chilly Fish,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,15
DARLING NAMMA VEEDU - WALAJA,Fish Manchurian Dry,,273,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,16
DARLING NAMMA VEEDU - WALAJA,Dragon Fish,,267.75,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,17
DARLING NAMMA VEEDU - WALAJA,Shanghai Fish,,257.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,18
DARLING NAMMA VEEDU - WALAJA,Garlic Fish,,288.75,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,19
DARLING NAMMA VEEDU - WALAJA,Nandu Varuval,,178.5,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,20
DARLING NAMMA VEEDU - WALAJA,Nandu Pepper Fry,,178.5,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,21
DARLING NAMMA VEEDU - WALAJA,Kaadai Varuval,,152.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,22
DARLING NAMMA VEEDU - WALAJA,Kaadai Pepper Fry,,152.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,23
DARLING NAMMA VEEDU - WALAJA,Kaadai 65,,147,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chineese Non Veg Starters,,0,,3,24
