restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
DARLING NAMMA VEEDU - WALAJA,Tomato Soup,,115.5,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Hot & Sour Soup,,115.5,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Mushroom Soup,,105,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Veg Manchow Soup,,115.5,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Veg Clear Soup,,94.5,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Sweet Corn Veg Soup,,115.5,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Lung Fung Veg Soup,,115.5,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Chicken Pepper Soup,,126,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Hot & Sour Chicken Soup,,126,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Sweet Corn Chicken Soup,,126,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Chicken Manchow Soup,,126,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Chicken Clear Soup,,115.5,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
DARLING NAMMA VEEDU - WALAJA,Nandu Pepper Soup,,120.75,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
