restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL DELHI DHARBAR,Veg Clear Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,1
HOTEL DELHI DHARBAR,Sweet Corn Veg Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,2
HOTEL DELHI DHARBAR,Corn Noodles Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,3
HOTEL DELHI DHARBAR,Veg Hot & Sour Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,4
HOTEL DELHI DHARBAR,Veg Manchoo Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,5
HOTEL DELHI DHARBAR,Tomato Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,6
HOTEL DELHI DHARBAR,Baby Corn Soup,,85,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,7
HOTEL DELHI DHARBAR,Chicken Clear Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,1
HOTEL DELHI DHARBAR,Sweet Corn Chicken Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,2
HOTEL DELHI DHARBAR,Tomato Egg Drop Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,3
HOTEL DELHI DHARBAR,Chicken Hot & Sour Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,4
HOTEL DELHI DHARBAR,Mutton Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,5
HOTEL DELHI DHARBAR,Pepper Chicken Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,6
HOTEL DELHI DHARBAR,Chicken Manchoo Soup,,109,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soups,,0,,2,7
HOTEL DELHI DHARBAR,Baby Corn Pepper Fry,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,1
HOTEL DELHI DHARBAR,Golden Fried Baby Corn,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,2
HOTEL DELHI DHARBAR,Baby Corn Chilly,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,3
HOTEL DELHI DHARBAR,Baby Corn Manchurian,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,4
HOTEL DELHI DHARBAR,Gobi Chilly,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,5
HOTEL DELHI DHARBAR,Gobi Monika,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,6
HOTEL DELHI DHARBAR,Gobi Pepper Fry,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,7
HOTEL DELHI DHARBAR,Gobi Manchurian,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,8
HOTEL DELHI DHARBAR,Honey Chilly Gobi,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,9
HOTEL DELHI DHARBAR,Honey Chilly Potato,,133,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,10
HOTEL DELHI DHARBAR,Gobi 65,,109,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,11
