restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DELHI INIPPAGAM,Vennila Cake (1 Kg),,460,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,1
DELHI INIPPAGAM,Honey Cake (1 Kg),,500,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,2
DELHI INIPPAGAM,Chocolate Cake (1 Kg),,520,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,3
DELHI INIPPAGAM,Strawberry Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,4
DELHI INIPPAGAM,Pineapple Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,5
DELHI INIPPAGAM,Mango Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,6
DELHI INIPPAGAM,Black Current Butter (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,8
DELHI INIPPAGAM,Blueberry Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,9
DELHI INIPPAGAM,Butter Scotch Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,10
DELHI INIPPAGAM,Butter Scotch Butter Cream (1 Kg),,310,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,11
DELHI INIPPAGAM,Vanila Cake (1/2 Kg),,230,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,12
DELHI INIPPAGAM,Honey Cake (1/2 Kg),,250,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,13
