restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DELHI INIPPAGAM,Rose Milk ,,30,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,1
DELHI INIPPAGAM,Lemon Juice ,,20,,,,1,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,2
DELHI INIPPAGAM,Pineapple Juice ,,30,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,3
DELHI INIPPAGAM,Grape Juice ,,30,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,4
DELHI INIPPAGAM,Water Melon ,,30,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,5
DELHI INIPPAGAM,Orange Juice ,,50,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,6
DELHI INIPPAGAM,Apple Juice ,,60,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,7
DELHI INIPPAGAM,Madhulai Juice ,,70,,,,4,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,8
DELHI INIPPAGAM,Mulam Fruit Juice ,,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,9
DELHI INIPPAGAM,Sathukudi Juice ,,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,10
DELHI INIPPAGAM,Sappota Juice ,,30,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,11
DELHI INIPPAGAM,Nellikai Juice ,,30,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,12
DELHI INIPPAGAM,Vennila Cake (1 Kg),,360,,,,20,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,1
DELHI INIPPAGAM,Honey Cake (1 Kg),,380,,,,20,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,2
DELHI INIPPAGAM,Chocolate Cake (1 Kg),,400,,,,20,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,3
DELHI INIPPAGAM,Strawberry Butter Cream (1 Kg),,480,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,4
DELHI INIPPAGAM,Pinapple Butter Cream (1 Kg),,480,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,5
DELHI INIPPAGAM,Mango Butter Cream (1 Kg),,480,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,6
DELHI INIPPAGAM,Orange Butter Cream (1 Kg),,500,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,7
DELHI INIPPAGAM,Black Current Butter (1 Kg),,500,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,8
DELHI INIPPAGAM,Blueberry Butter Cream (1 Kg),,500,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,9
DELHI INIPPAGAM,Butter Scotch Butter Cream (1 Kg),,500,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,10
DELHI INIPPAGAM,Black Forest Cake (1 Kg),,500,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,1
DELHI INIPPAGAM,White Forest Cake (1 Kg),,500,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,2
DELHI INIPPAGAM,Strawberry Fresh Cream Cake (1 Kg),,620,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,3
DELHI INIPPAGAM,Pinnapple Fresh Cream Cake (1 Kg),,620,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,4
DELHI INIPPAGAM,Manggo Fresh Cream Cake (1 Kg),,620,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,5
DELHI INIPPAGAM,Orange Fresh Cream Cake (1 Kg),,640,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,6
DELHI INIPPAGAM,Black Current Fresh Cream Cake (1 Kg),,640,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,7
DELHI INIPPAGAM,Roseberry Fresh Cake (1 Kg),,640,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,8
DELHI INIPPAGAM,Blueberry Fresh Cake (1 Kg),,640,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,9
DELHI INIPPAGAM,Butter Scotch Fresh Cream Cake (1 Kg),,640,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,10
DELHI INIPPAGAM,Chocolate Fresh Cream Cake (1 Kg),,700,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,11
DELHI INIPPAGAM,Choco Truffle (1 Kg),,900,,,,25,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,12
DELHI INIPPAGAM,Sweet Boondhi (100 Gms),,32,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,1
DELHI INIPPAGAM,Jangiri (100 Gms),,38,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,2
DELHI INIPPAGAM,Badhusha (100 Gms),,38,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,3
DELHI INIPPAGAM,Chadhirakala (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,4
DELHI INIPPAGAM,Bombay Halwa (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,5
DELHI INIPPAGAM,Dry Fruit Halwa (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,6
DELHI INIPPAGAM,Wheat Halwa (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,7
DELHI INIPPAGAM,Dates Parfi (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,8
DELHI INIPPAGAM,Mixed Sweets (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,9
DELHI INIPPAGAM,Panaras Halwa (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,10
DELHI INIPPAGAM,Carret Halwa (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,11
DELHI INIPPAGAM,Milk Halwa (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,12
DELHI INIPPAGAM,Pal Kova (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,13
DELHI INIPPAGAM,Milk Sweets (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,14
DELHI INIPPAGAM,Sone Papudi (100 Gms),,40,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,15
DELHI INIPPAGAM,Kalakandu (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,16
DELHI INIPPAGAM,Mothi Parfi (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,17
DELHI INIPPAGAM,Carret Parfi (100 Gms),,46,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,18
DELHI INIPPAGAM,Milk Cake (100 Gms),,46,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,19
DELHI INIPPAGAM,Milk Peda (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,20
DELHI INIPPAGAM,Laddu (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,21
DELHI INIPPAGAM,Bengali Sweets (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,22
DELHI INIPPAGAM,Dry Jamoon (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,23
DELHI INIPPAGAM,Paneer Jamoon (100 Gms),,44,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,24
DELHI INIPPAGAM, Mysorepak Special (100 Gms),,46,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,25
DELHI INIPPAGAM,Mysorepak (Milk) (100 Gms),,46,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,26
DELHI INIPPAGAM,Mushorepak (Horlicks) (100 Gms),,46,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,27
DELHI INIPPAGAM,Mundhiri Cake (100 Gms),,58,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,28
DELHI INIPPAGAM,Pista Roll (100 Gms),,58,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,29
DELHI INIPPAGAM,Kajuflower (100 Gms),,58,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,30
DELHI INIPPAGAM,Kaju Sonali Roll (100 Gms),,58,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,31
DELHI INIPPAGAM,Chaco Parfi (100 Gms),,58,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,32
DELHI INIPPAGAM,Badam Parfi (100 Gms),,58,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,33
DELHI INIPPAGAM,Jamoon (2 Nos),,50,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,34
DELHI INIPPAGAM,Rasagulla (2 Nos),,50,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,35
DELHI INIPPAGAM,Rasamala,,45,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,36
DELHI INIPPAGAM,Basanthi ,,45,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,37
DELHI INIPPAGAM,Karuppatti Paruthipal Halwa (100 Gms),,60,,,,3,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Desserts,,0,,5,38
DELHI INIPPAGAM,Mixer  (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,1
DELHI INIPPAGAM,Kara Boondhi (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,2
DELHI INIPPAGAM,Kara Sevu (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,3
DELHI INIPPAGAM,Murruku (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,4
DELHI INIPPAGAM,Butter Murruku (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,5
DELHI INIPPAGAM,Onion Pakoda (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,6
DELHI INIPPAGAM,Omapodi (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,7
DELHI INIPPAGAM,Thattai (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,8
DELHI INIPPAGAM,Masala Kadalai (100 Gms),,28,,,,2,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,7,9
