restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DELHI SWEETSAND RESTAURANT1,Rose Milk ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,1
DELHI SWEETSAND RESTAURANT1,Lemon Juice ,,20,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,2
DELHI SWEETSAND RESTAURANT1,Pinnapple Juice ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,3
DELHI SWEETSAND RESTAURANT1,Grape Juice ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,4
DELHI SWEETSAND RESTAURANT1,Water Milon ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,5
DELHI SWEETSAND RESTAURANT1,Orage Juice ,,50,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,6
DELHI SWEETSAND RESTAURANT1,Apple Juice ,,60,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,7
DELHI SWEETSAND RESTAURANT1,Madhulai Juice ,,70,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,8
DELHI SWEETSAND RESTAURANT1,Mulam Fruit Juice ,,40,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,9
DELHI SWEETSAND RESTAURANT1,Sathukudi Juice ,,40,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,10
DELHI SWEETSAND RESTAURANT1,Sappota Juice ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,11
DELHI SWEETSAND RESTAURANT1,Nellikai Juice ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,12
DELHI SWEETSAND RESTAURANT1,Mini Tifen ,,50,,,,,Veg,11:00am,,,,,,5:00pm,9:00pm,"1,2,3,4,5,6,7",1,,South Indian Dishes,,0,,1,13
DELHI SWEETSAND RESTAURANT1,Idly Set ,,20,,,,,Veg,11:00am,,,,,,5:00pm,9:00pm,"1,2,3,4,5,6,7",1,,South Indian Dishes,,0,,1,14
DELHI SWEETSAND RESTAURANT1,Pongal ,,45,,,,,Veg,11:00am,,,,,,5:00pm,9:00pm,"1,2,3,4,5,6,7",1,,South Indian Dishes,,0,,1,15
DELHI SWEETSAND RESTAURANT1,Wheat Rava Uppuma ,,45,,,,,Veg,11:00am,,,,,,5:00pm,9:00pm,"1,2,3,4,5,6,7",1,,South Indian Dishes,,0,,1,16
DELHI SWEETSAND RESTAURANT1,Kichadi ,,45,,,,,Veg,11:00am,,,,,,5:00pm,9:00pm,"1,2,3,4,5,6,7",1,,South Indian Dishes,,0,,1,17
