restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Rose Milk ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,1
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Lemon Juice ,,20,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,2
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Pinnapple Juice ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,3
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Grape Juice ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,4
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Water Milon ,,30,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,5
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Orage Juice ,,50,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,6
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Apple Juice ,,60,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,7
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Madhulai Juice ,,70,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,8
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Mulam Fruit Juice ,,40,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,9
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Sathukudi Juice ,,40,,,,,Veg,11:00am,10:00pm,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,1,10
