restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Rose Milk ,,30,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,1
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Lemon Juice ,,20,,,,1,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,2
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Pineapple Juice ,,35,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,3
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Grape Juice ,,35,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,4
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Water Melon ,,30,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,5
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Orange Juice ,,50,,,,3,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,6
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Apple Juice ,,70,,,,3,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,7
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Madhulai Juice ,,70,,,,4,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,8
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Mulam Fruit Juice ,,45,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,9
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Sathukudi Juice ,,65,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,10
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Sappota Juice ,,35,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,11
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Nellikai Juice ,,30,,,,2,Veg,11:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,,10,12
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Vennila Cake (1 Kg),,400,,,,20,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,1
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Honey Cake (1 Kg),,440,,,,20,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,2
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Chocolate Cake (1 Kg),,440,,,,20,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,3
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Strawberry Butter Cream (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,4
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Pinapple Butter Cream (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,5
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Mango Butter Cream (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,6
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Orange Butter Cream (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,7
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Black Current Butter (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,8
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Blueberry Butter Cream (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,9
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Butter Scotch Butter Cream (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Creams,,0,,9,10
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Black Forest Cake (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,1
DELHI SWEETS AND RESTAURANT KOVAI ROAD,White Forest Cake (1 Kg),,600,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,2
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Strawberry Fresh Cream Cake (1 Kg),,800,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,3
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Pinnapple Fresh Cream Cake (1 Kg),,800,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,4
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Manggo Fresh Cream Cake (1 Kg),,800,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,5
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Orange Fresh Cream Cake (1 Kg),,800,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,6
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Black Current Fresh Cream Cake (1 Kg),,800,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,7
DELHI SWEETS AND RESTAURANT KOVAI ROAD,Roseberry Fresh Cake (1 Kg),,800,,,,25,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Cream Cakes,,0,,8,8
