restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DELHI SWEETS & RESTAURANT,Vennila Cake (1 Kg),,460,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,1
DELHI SWEETS & RESTAURANT,Honey Cake (1 Kg),,500,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,2
DELHI SWEETS & RESTAURANT,Chocolate Cake (1 Kg),,520,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,3
DELHI SWEETS & RESTAURANT,Strawberry Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,4
DELHI SWEETS & RESTAURANT,Pineapple Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,5
DELHI SWEETS & RESTAURANT,Mango Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,6
DELHI SWEETS & RESTAURANT,Black Current Butter (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,8
DELHI SWEETS & RESTAURANT,Blueberry Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,9
DELHI SWEETS & RESTAURANT,Butter Scotch Butter Cream (1 Kg),,620,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,10
DELHI SWEETS & RESTAURANT,Butter Scotch Butter Cream (1 Kg),,310,,,,25,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,11
DELHI SWEETS & RESTAURANT,Vanila Cake (1/2 Kg),,230,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,12
DELHI SWEETS & RESTAURANT,Honey Cake (1/2 Kg),,250,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,13
DELHI SWEETS & RESTAURANT,Chocolate Cake (1/2 Kg),,260,,,,20,Veg,08:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Butter Cream Cakes,,0,,1,14
