restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DHARAPURAM BROILERS,Chicken with Skin (1/2 Kg),,150,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Broiler Chicken,,0,,,
DHARAPURAM BROILERS,Chicken without Skin (1/2 Kg),,170,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Broiler Chicken,,0,,,
DHARAPURAM BROILERS,Chicken Drumstick (1/2 Kg),,120,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Broiler Chicken,,0,,,
DHARAPURAM BROILERS,Chicken Lollypop 1/2 kg,,190,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Broiler Chicken,,0,,,
DHARAPURAM BROILERS,Chicken Boneless (1/2 Kg),,200,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Broiler Chicken,,0,,,
DHARAPURAM BROILERS,Liver (1/2 Kg),,80,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Broiler Chicken,,0,,,
DHARAPURAM BROILERS,Kaadai 1 Piece,,40,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Kaadai,,0,,,
DHARAPURAM BROILERS,Original Nattukozhi Meat (1/2 Kg),,400,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Nattukozhi,,0,,,
DHARAPURAM BROILERS,Farm Nattukozhi Meat (1/2 Kg),,175,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Farm Nattukozhi,,0,,,
DHARAPURAM BROILERS,Vathu (1/2 Kg),,150,,,,0,Non Veg,08:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vathu,,0,,,
