restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Mutton Briyani,,280,,,14,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
DINDIGUL VELU BRIYANI,Mutton Briyani 1/4,,150,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,2
DINDIGUL VELU BRIYANI,Plain Mutton Biriyani,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,3
DINDIGUL VELU BRIYANI,Plain Mutton Biriyani 1/4,,130,,,6.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,4
DINDIGUL VELU BRIYANI,Chicken Briyani,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,5
DINDIGUL VELU BRIYANI,Chicken 65 Briyani,,270,,,13.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,6
DINDIGUL VELU BRIYANI,Plain Chicken Biriyani,,190,,,9.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,7
DINDIGUL VELU BRIYANI,Plain Chicken Biriyani 1/4,,120,,,6,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Egg Briyani,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,9
DINDIGUL VELU BRIYANI,Egg Briyani 1/4,,130,,,6.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,10
DINDIGUL VELU BRIYANI,Veg Briyani,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,11
DINDIGUL VELU BRIYANI,Mushroom Briyani,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,12
DINDIGUL VELU BRIYANI,Non Veg Meals,,160,,,8,Non Veg,,,,,12:30PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,1
DINDIGUL VELU BRIYANI,Veg Meals,,140,,,7,Veg,,,,,12:30PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,2
DINDIGUL VELU BRIYANI,Extra Rice,,30,,,1.5,Veg,,,,,12:30PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,3
DINDIGUL VELU BRIYANI,Curd,,20,,,1,Veg,,,,,12:30PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,4
DINDIGUL VELU BRIYANI,Mutton Sukka,,180,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,1
DINDIGUL VELU BRIYANI,Mutton Egg Kari,,190,,,9.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,2
DINDIGUL VELU BRIYANI,Mutton Kothu Kari,,190,,,9.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,3
