restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Mutton Briyani,,252,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,1,,1,1
DINDIGUL VELU BRIYANI,Mutton Briyani 1/4,,137,,,6.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,2
DINDIGUL VELU BRIYANI,Chicken Briyani,,189,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,1,,1,3
DINDIGUL VELU BRIYANI,Chicken 65 Briyani,,231,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,1,,1,4
DINDIGUL VELU BRIYANI,Nattu Kozhi Briyani,,252,,,12,Non Veg,11:30AM,11:00PM,,,,,,,7,1,,Briyani,,1,,1,5
DINDIGUL VELU BRIYANI,Egg Briyani,,179,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,6
DINDIGUL VELU BRIYANI,Egg Briyani 1/4,,116,,,5.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,7
DINDIGUL VELU BRIYANI,Plain Mutton Biriyani,,189,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Plain Mutton Biriyani 1/4,,116,,,5.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Plain Chicken Biriyani,,168,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Plain Chicken Biriyani 1/4,,105,,,5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Veg Briyani,,137,,,6.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,10
DINDIGUL VELU BRIYANI,Mushroom Briyani,,147,,,7,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,11
DINDIGUL VELU BRIYANI,Non Veg Meals,,168,,,8,Non Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,1
DINDIGUL VELU BRIYANI,Veg Meals,,95,,,4.5,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,2
DINDIGUL VELU BRIYANI,Curd Rice,,53,,,2.5,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,3
DINDIGUL VELU BRIYANI,Extra Rice,,32,,,1.5,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,4
DINDIGUL VELU BRIYANI,Curd,,21,,,1,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,5
DINDIGUL VELU BRIYANI,Mutton Sukka,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,1
DINDIGUL VELU BRIYANI,Mutton Egg Kari,,168,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,2
DINDIGUL VELU BRIYANI,Mutton Kothu Kari,,168,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,3
DINDIGUL VELU BRIYANI,Mutton Nenju Chops,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,1,,5,4
DINDIGUL VELU BRIYANI,Mutton Nalli Chops,,179,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,5
DINDIGUL VELU BRIYANI,Mutton Kudal,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,6
DINDIGUL VELU BRIYANI,Mutton Egg Kudal,,168,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,7
DINDIGUL VELU BRIYANI,Mutton Brain,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,1,,5,8
DINDIGUL VELU BRIYANI,Mutton Egg Brain,,168,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,9
DINDIGUL VELU BRIYANI,Mutton Liver,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,10
DINDIGUL VELU BRIYANI,Mutton Thalakari,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,10
DINDIGUL VELU BRIYANI,Mutton Suvaroti,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,11
DINDIGUL VELU BRIYANI,Mutton Maanga,,158,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,12
DINDIGUL VELU BRIYANI,Mutton Kola 1 Pc,,27,,,1.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,13
DINDIGUL VELU BRIYANI,Nattukozhi Sukka Dry,,189,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,1
DINDIGUL VELU BRIYANI,Nattukozhi Chops Dry,,189,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,1,,6,2
DINDIGUL VELU BRIYANI,Nattukozhi Uppukari Dry,,189,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,3
DINDIGUL VELU BRIYANI,Nattukozhi Pallipalayam Dry,,210,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,4
DINDIGUL VELU BRIYANI,Nattukozhi Chittenadu Gravy,,210,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,3
DINDIGUL VELU BRIYANI,Nattukozhi Pepper Masala,,210,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,4
DINDIGUL VELU BRIYANI,Panneer Butter Masala,,168,,,8,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,9,1
DINDIGUL VELU BRIYANI,Kadaai Panneer Masala,,168,,,8,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,9,2
DINDIGUL VELU BRIYANI,Panneer Tikka Masala,,221,,,10.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,1,,9,3
DINDIGUL VELU BRIYANI,Gobi Masala,,147,,,7,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,9,4
DINDIGUL VELU BRIYANI,Mushroom Masala,,156,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,9,5
DINDIGUL VELU BRIYANI,Chettinad Chicken Gravy,,179,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,9,6
DINDIGUL VELU BRIYANI,Kadaai Chicken Gravy,,179,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,9,7
DINDIGUL VELU BRIYANI,Ginger Chicken Gravy,,179,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,9,8
