restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Mutton Briyani,,240,,,12,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
DINDIGUL VELU BRIYANI,Mutton Briyani 1/4,,130,,,6.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,2
DINDIGUL VELU BRIYANI,Chicken Briyani,,180,,,9,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,3
DINDIGUL VELU BRIYANI,Chicken 65 Briyani,,220,,,11,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,4
DINDIGUL VELU BRIYANI,Nattu Kozhi Briyani,,240,,,12,Non Veg,09:00AM,11:00PM,,,,,,,7,1,,Briyani,,0,,1,5
DINDIGUL VELU BRIYANI,Hyderabad Chicken Dum Briyani,,220,,,11,Non Veg,09:00AM,11:00PM,,,,,,,7,1,,Briyani,,0,,1,5
DINDIGUL VELU BRIYANI,Egg Briyani,,170,,,8.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,6
DINDIGUL VELU BRIYANI,Egg Briyani 1/4,,110,,,5.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,7
DINDIGUL VELU BRIYANI,Plain Mutton Biriyani,,180,,,9,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Plain Mutton Biriyani 1/4,,110,,,5.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Plain Chicken Biriyani,,160,,,8,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Plain Chicken Biriyani 1/4,,100,,,5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,8
DINDIGUL VELU BRIYANI,Veg Briyani,,130,,,6.5,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,10
DINDIGUL VELU BRIYANI,Mushroom Briyani,,140,,,7,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,11
DINDIGUL VELU BRIYANI,Non Veg Meals,,160,,,8,Non Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",0,,Meals,,0,,2,1
DINDIGUL VELU BRIYANI,Veg Meals,,90,,,4.5,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",0,,Meals,,0,,2,2
DINDIGUL VELU BRIYANI,Curd Rice,,50,,,2.5,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",0,,Meals,,0,,2,3
DINDIGUL VELU BRIYANI,Extra Rice,,30,,,1.5,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",0,,Meals,,0,,2,4
DINDIGUL VELU BRIYANI,Curd,,20,,,1,Veg,,,,,11:00AM,03:00PM,,,"1,2,3,4,5,6,7",0,,Meals,,0,,2,5
DINDIGUL VELU BRIYANI,Mutton Sukka,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,1
DINDIGUL VELU BRIYANI,Mutton Egg Kari,,160,,,8,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,2
DINDIGUL VELU BRIYANI,Mutton Kothu Kari,,160,,,8,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,3
DINDIGUL VELU BRIYANI,Mutton Nenju Chops,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,4
DINDIGUL VELU BRIYANI,Mutton Nalli Chops,,170,,,8.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,5
DINDIGUL VELU BRIYANI,Mutton Kudal,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,6
DINDIGUL VELU BRIYANI,Mutton Egg Kudal,,160,,,8,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,7
DINDIGUL VELU BRIYANI,Mutton Brain,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,8
DINDIGUL VELU BRIYANI,Mutton Egg Brain,,160,,,8,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,9
DINDIGUL VELU BRIYANI,Mutton Liver,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,10
DINDIGUL VELU BRIYANI,Mutton Thalakari,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,10
DINDIGUL VELU BRIYANI,Mutton Suvaroti,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,11
DINDIGUL VELU BRIYANI,Mutton Maanga,,150,,,7.5,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,12
DINDIGUL VELU BRIYANI,Mutton Kola 1 Pc,,25,,,1.25,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,5,13
DINDIGUL VELU BRIYANI,Nattukozhi Sukka Dry,,180,,,9,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,1
DINDIGUL VELU BRIYANI,Nattukozhi Chops Dry,,180,,,9,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,2
DINDIGUL VELU BRIYANI,Nattukozhi Uppukari Dry,,180,,,9,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,3
DINDIGUL VELU BRIYANI,Nattukozhi Pallipalayam Dry,,200,,,10,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,4
DINDIGUL VELU BRIYANI,Nattukozhi Chittenadu Gravy,,200,,,10,Non Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters ,,0,,6,3
