restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL DELHI DHARBAR   Reddipalayam,Plain Naan,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,1
HOTEL DELHI DHARBAR   Reddipalayam,Butter Naan,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,2
HOTEL DELHI DHARBAR   Reddipalayam,Tandoori Rotti,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,3
HOTEL DELHI DHARBAR   Reddipalayam,Butter Rotti,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,4
HOTEL DELHI DHARBAR   Reddipalayam,Romali Rotti,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,4
HOTEL DELHI DHARBAR   Reddipalayam,Puthina Rotti,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,5
HOTEL DELHI DHARBAR   Reddipalayam,Puthina Parotta,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,6
HOTEL DELHI DHARBAR   Reddipalayam,Tandoori Parotta,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,7
HOTEL DELHI DHARBAR   Reddipalayam,Panner Parotta,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,8
HOTEL DELHI DHARBAR   Reddipalayam,Kashmiri Naan,,55,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,8
HOTEL DELHI DHARBAR   Reddipalayam,Latcher Parotta,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,8
HOTEL DELHI DHARBAR   Reddipalayam,Allu Parotta,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,2
HOTEL DELHI DHARBAR   Reddipalayam,Plain Kulcha,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,3
HOTEL DELHI DHARBAR   Reddipalayam,Butter Kulcha,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,4
HOTEL DELHI DHARBAR   Reddipalayam,Stuffed KulchaVeg,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,5
HOTEL DELHI DHARBAR   Reddipalayam,Stuffed Kulcha Non Veg,,39,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,6
HOTEL DELHI DHARBAR   Reddipalayam,Garlic Naan,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,7
HOTEL DELHI DHARBAR   Reddipalayam,Cheese Naan,,50,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,5,8
