restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL DELHI DHARBAR,Plain Naan,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,1
HOTEL DELHI DHARBAR,Butter Naan,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,2
HOTEL DELHI DHARBAR,Tandoori Rotti,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,3
HOTEL DELHI DHARBAR,Butter Rotti,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,4
HOTEL DELHI DHARBAR,Romali Rotti,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,4
HOTEL DELHI DHARBAR,Puthina Rotti,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,5
HOTEL DELHI DHARBAR,Puthina Parotta,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,6
HOTEL DELHI DHARBAR,Tandoori Parotta,,33,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,7
HOTEL DELHI DHARBAR,Panner Parotta,,44,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,8
HOTEL DELHI DHARBAR,Kashmiri Naan,,55,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,8
HOTEL DELHI DHARBAR,Latcher Parotta,,39,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori Rotti Item,,0,,1,8
HOTEL DELHI DHARBAR,Plain Grill Full,,396,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,1,8
HOTEL DELHI DHARBAR,Plain Grill Half,,209,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,1,10
HOTEL DELHI DHARBAR,Plain Grill Quorter,,110,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,1,11
HOTEL DELHI DHARBAR,Pepper Grill Full,,418,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,2,1
HOTEL DELHI DHARBAR,Pepper Grill half,,220,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,2,2
HOTEL DELHI DHARBAR,Chettinadu Grill Full,,418,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,2,3
