restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL THALAPPAKATTI,Chicken Milagu Soup,,114,,,,5.15,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Asaiva Neer Saaru,,0,,1,1
DINDIGUL THALAPPAKATTI,Mutton Milagu Soup,,154,,,,7,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Asaiva Neer Saaru,,0,,2,1
DINDIGUL THALAPPAKATTI,Hot & Soup Veg Soup,,98,,,,4.45,Veg,11:0AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,3,1
DINDIGUL THALAPPAKATTI,Mushroom Milagu Soup,,98,,,,4.45,Veg,11:0AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,4,1
DINDIGUL THALAPPAKATTI,Milagu Rasam Soup,,98,,,,4.45,Veg,11:0AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,5,1
DINDIGUL THALAPPAKATTI,Gobi 65,,177,,,,8.05,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,1
DINDIGUL THALAPPAKATTI,Gobi Manchurian,,177,,,,8.05,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,7,1
DINDIGUL THALAPPAKATTI,Panner 65 ,,198,,,,9,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,8,1
DINDIGUL THALAPPAKATTI,Panner Manchurian,,198,,,,9,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,9,1
DINDIGUL THALAPPAKATTI,Mushroom 65,,177,,,,8.05,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,10,1
DINDIGUL THALAPPAKATTI,Mushroom Manchurian,,177,,,,8.05,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,11,1
DINDIGUL THALAPPAKATTI,Black Pepper Chicken,,242,,,,11,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,12,1
DINDIGUL THALAPPAKATTI,Thalappakatti Chicken Porichadu,,285,,,,12.95,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,13,1
DINDIGUL THALAPPAKATTI,Chicken Lollypop,,241,,,,10.95,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,14,1
DINDIGUL THALAPPAKATTI,Moru Moru Stick Chicken,,318,,,,14.45,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,15,1
DINDIGUL THALAPPAKATTI,Black Pepper Chicken Boneless,,285,,,,12.95,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,16,1
DINDIGUL THALAPPAKATTI,Thalappakatti Pepper Lollypop,,241,,,,10.95,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,17,1
