restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
DRUNKEN MONKEY,Watermelon-Classic,,115,5.55,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Watermelon-Classic Mint,,115,5.55,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Watermelon-Epic,,115,5.55,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Watermelon-Magic,,115,5.55,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Pineapple-Classic,,125,5.95,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Pineapple-Classic Mint,,125,5.95,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Pineapple-Epic,,125,5.95,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Pineapple-Magic,,125,5.95,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Banana-Classic,,136,6.55,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
DRUNKEN MONKEY,Banana-Epic,,136,6.55,,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Fruit Smoothies,,0,
