restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
FIVE STAR CHICKEN,Chicken Nuggets (4 Pcs ) ,,50,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Up,,0,,1,1
FIVE STAR CHICKEN,Chicken Fingers ( 3 Pcs ) ,,50,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Up,,0,,1,2
FIVE STAR CHICKEN,Masala Fries ,,50,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Up,,0,,1,3
FIVE STAR CHICKEN,Cheesy Chicken Shots (6 Pcs ) ,,65,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Up,,0,,1,4
FIVE STAR CHICKEN,Chicken Popcorn ,,65,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Up,,0,,1,5
FIVE STAR CHICKEN,Chicken Strips (3 Pcs) ,,75,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Up,,0,,1,6
FIVE STAR CHICKEN,Chicken Sausage ( 1 Pc ) ,,44,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grab N Eat,,0,,2,1
FIVE STAR CHICKEN,Crispy Chicken Burger ,,56,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grab N Eat,,0,,2,2
FIVE STAR CHICKEN,Veg Burger ,,66,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grab N Eat,,0,,2,3
FIVE STAR CHICKEN,Chicken Hot Dog Mexicana ,,66,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grab N Eat,,0,,2,4
FIVE STAR CHICKEN,Chicken Hungry Bird Burger ,,89,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grab N Eat,,0,,2,5
FIVE STAR CHICKEN,Chicken Hot Crispy Burger ,,103,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grab N Eat,,0,,2,1
FIVE STAR CHICKEN,Veg Wrap ,,66,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Star Wraps,,0,,3,2
FIVE STAR CHICKEN,Chicken Wrap ,,66,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Star Wraps,,0,,3,3
FIVE STAR CHICKEN,Chicken Sheek Wrap ,,75,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Star Wraps,,0,,3,4
FIVE STAR CHICKEN,Chicken Hot N Crispy Wrap ,,80,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Star Wraps,,0,,3,5
FIVE STAR CHICKEN,Chicken Crunchy Masala (1 Pc),,68,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chickens,,0,,4,1
FIVE STAR CHICKEN,Thai Crispy ( 1 Pc ) ,,68,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chickens,,0,,4,2
FIVE STAR CHICKEN,Hot N' Smokey (1 Pc) ,,72,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chickens,,0,,4,3
FIVE STAR CHICKEN,Southern Spice Chicken (1 Pc) ,,72,,,,5,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chickens,,0,,4,4
FIVE STAR CHICKEN,Crunchy Masala Mini Bucket ( 5 Pcs ),,329,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Buckets,,0,,5,1
FIVE STAR CHICKEN,Thai Crispy Mini Bucket ( 5 Pcs ) ,,329,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Buckets,,0,,5,2
FIVE STAR CHICKEN,Hot N' Smokey (5 Pcs ) ,,354,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Buckets,,0,,5,3
FIVE STAR CHICKEN,Crunchy Masala Big Bucket ( 10 Pcs ),,659,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Buckets,,0,,5,4
FIVE STAR CHICKEN,Thai Crispy Big Bucket ( 10 Pcs ) ,,659,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Buckets,,0,,5,5
FIVE STAR CHICKEN,Hot N' Smokey Big Bucket (10 Pcs ),,700,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Buckets,,0,,5,6
FIVE STAR CHICKEN,Chicken Popcorn Bucket ,,184,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Buckets,,0,,6,1
FIVE STAR CHICKEN,Chicken Cheesy Shots Bucket ( 20 Pcs ),,184,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Buckets,,0,,6,2
FIVE STAR CHICKEN,Chicken Strips Bucket ( 10 Pcs ) ,,214,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Buckets,,0,,6,3
FIVE STAR CHICKEN,Snack Combo 1, 2 Chicken Popcorn,114,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Combos,,0,,7,1
FIVE STAR CHICKEN,Snack Combo 2 , 2 Chicken Hot Dog Mexicana,134,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Combos,,0,,7,2
FIVE STAR CHICKEN,Snack Combo 3 , 2 Chicken Jumbo Wraps,144,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Combos,,0,,7,3
FIVE STAR CHICKEN,Snack Combo 4 , Cheesy Chicken Shots ( 6 Pcs ) + Chicken Juicy Sheek Wrap  +  250Ml Soft Drink,154,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Combos,,0,,7,4
FIVE STAR CHICKEN,Snack Combo 5, 1 Chicken Strips ( 3Pcs ) + 1 Chicken Popcorn + 1 Masala fries + 250ML Soft Drink,184,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Combos,,0,,7,5
FIVE STAR CHICKEN,Snack Combo 6, 1 Chicken Strips ( 3Pcs ) + Chicken Hot N Crispy Wrap + 1 Masala fries + 250ML Soft Drink,204,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snack Combos,,0,,7,6
FIVE STAR CHICKEN,Burger Combo 1, 2 Crispy Classic Chicken Burgers,99,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Combos,,0,,8,1
FIVE STAR CHICKEN,Burger Combo 2, Crispy Chicken Burger + Masala fries or Nuggets or Fingers + 250 ML Soft Drink,124,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Combos,,0,,8,2
FIVE STAR CHICKEN,Veg Classic Combo , Veg Burger Or Veg Roll+ Masala Fries+ 250 ML Soft Drink,134,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Combos,,0,,8,3
FIVE STAR CHICKEN,Burger Combo 3, Hungry Bird Burger+ Masala Fries or fingers or Nuggets+ 250 ML Soft Drink,144,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Combos,,0,,8,4
FIVE STAR CHICKEN,Burger Combo 4, Hot Crispy Burger+ Masala Fries or fingers or Nuggets+ 250 ML Soft,164,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Combos,,0,,8,5
FIVE STAR CHICKEN,Burger Combo 5 , Hot Crispy Burger + Veg Roll or Chicken Roll + Masala Fries + 600 ML Soft Drink,244,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Combos,,0,,8,6
FIVE STAR CHICKEN,Classic Combo 1, 1 Chicken Thai Crispy or Crunchy Masala + Masala fries or Fingers or Nuggets + 250ML Soft drink,134,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,1
FIVE STAR CHICKEN,Classic Combo 2, 1 Chicken Hot N Smokey or Southern Spice + Masala fries or Fingers or Nuggets + 250ML Soft drink,144,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,2
FIVE STAR CHICKEN,Classic Combo 3, 4 Chicken Thai Crispy or Crunchy Masala + 750ML Soft Drink,304,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,3
FIVE STAR CHICKEN,Classic Mingles Combo 4, 4 Chicken Thai Crispy or Crunchy Masala + 4 Chicken Hot N Smokey or Southern Spice + 750ML Soft drink,599,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,4
FIVE STAR CHICKEN,Classic Family Combo 5, 8 Pcs Chicken Thai Crispy or Crunchy Masala + Chicken Cheesy Shots Bucket ( 20 Pcs ) + 2 Mayo Dips + 750 ML Soft drink,859,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,5
FIVE STAR CHICKEN,Classic Family Combo 6, 8 Pcs Chicken Hot N Smokey + Chicken Cheesy Shots Bucket ( 20 Pcs ) + 2 Mayo Dips + 750 ML Soft drink,899,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,6
FIVE STAR CHICKEN,Classic Family Combo 7, 8 Pcs Chicken Thai Crispy or Crunchy Masala + Chicken Cheesy Shots Bucket ( 20 Pcs ) + 4 Chicken Crispy Burgers + 2 Mayo Dips + 750 ML Soft drink,1049,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Chicken Combos,,0,,9,7
FIVE STAR CHICKEN,Tomato Ketchup ( 6 Pcs ) ,,10,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Dip,,0,,10,1
FIVE STAR CHICKEN,Mayo Dip ,,15,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Dip,,0,,10,2
FIVE STAR CHICKEN,Tandoori Mayo,,20,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Dip,,0,,10,3
FIVE STAR CHICKEN,Cheese Slice Plain ,,16,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Cheese Slices,,0,,11,1
FIVE STAR CHICKEN,Cheese Slice Peri-Peri,,20,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Cheese Slices,,0,,11,2
FIVE STAR CHICKEN,Popcorn Sprinkler,,6,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Spice,,0,,12,1
FIVE STAR CHICKEN,Bbq Sprinkler ,,6,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add On'S Spice,,0,,12,2
FIVE STAR CHICKEN,Coke 250 Ml,,25,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,1
FIVE STAR CHICKEN,Coke 600 Ml,,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,2
FIVE STAR CHICKEN,Sprite 250 Ml,,25,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,3
FIVE STAR CHICKEN,Sprite 600 Ml,,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,4
FIVE STAR CHICKEN,Thumbs Up 250 Ml,,25,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,5
FIVE STAR CHICKEN,Thumbs Up 600 Ml,,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,6
FIVE STAR CHICKEN,Mazza 600 Ml,,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,7
FIVE STAR CHICKEN,Kinley Water 1 Ltr,,25,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,,13,8
