restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
FRIENDLY CAFE,Gobi 65,,70,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Gobi Chilli Dry,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Gopi Pepper,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Honey Chilli Potato,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Crispy Chilli Potato,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Gobi Manchurian Dry,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Baby Corn Manchurian,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Baby Corn Pepper Fry,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chilly Baby Corn,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Veg Manchurian Dry,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Paneeri 65,,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Mushroom 65,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Paneer Chilli Dry,,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Mushroom Chilli Dry,,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Paneer Manchurian Dry,,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Paneer Tikka,,110,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Mushroom Manchurian Dry,,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Mushroom Pepper Fry,,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Fish Fry (2 Slice),,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Ramba Chicken,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chicken Dum Fry,,70,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chicken 65 (Boneless),,90,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Schezwan Chicken Dry,,80,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Fish 65,,80,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Fish Manchurian,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Hara Chicken,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Singapore Satay,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Dynamic Chicken,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Fish Chilli,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Pepper Fish Dry,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chicken Lollipop Dry,,90,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chicken Lollipop Manchurian,,100,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Dragon Chicken,,120,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chilli Chicken Dry,,100,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chicken Manchurian Dry,,100,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Hot Garlic Chicken Dry,,100,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Pepper Chicken Dry,,100,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Chicken Tikka,,120,5,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
FRIENDLY CAFE,Veg Hot & Sour Soup,,50,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
FRIENDLY CAFE,Veg Clear Soup,,50,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
FRIENDLY CAFE,Sweet Corn Veg Soup,,60,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
FRIENDLY CAFE,Chicken Clear Soup,,60,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
FRIENDLY CAFE,Chicken Hot & Sour Soup,,70,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
FRIENDLY CAFE,Chicken Sweet Corn Soup,,80,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
FRIENDLY CAFE,Steam Rice,,50,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Ghee Rice,,70,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Jeera Rice,,70,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Veg Fried Rice,,70,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Gobi Fried Rice,"Paneer, Gobi & Mushroom",80,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Veg Schezwan Fried Rice,"Paneer, Gobi & Mushroom",80,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Gobi Schezwan Fried Rice,,90,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Mushroom Fried Rice,,80,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Baby Corn Fried Rice,,80,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Baby Corn Schezwan Fried Rice,,90,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Paneer Fried Rice,,100,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Mushroom Schezwan Fried Rice,,90,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Paneer Schezwan Fried Rice,,110,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Mixed Veg Fried Rice,,120,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Mixed Veg Schezwan Fried Rice,,130,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Egg Fried Rice,,80,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
FRIENDLY CAFE,Egg Schezwan Fried Rice,,90,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
