restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
GERMAN CAFE,Pineapple,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Water Melon,,80,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Grapes,,120,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Carrot,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Beetroot,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Orange,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Apple,,130,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Strawberry,,150,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Mango,,110,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Papaya,,90,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Banana,,90,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,"A,B,C (Apple, Betroot, Carrot)",,130,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Pomagranate,,130,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Lime Juice,,50,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Weat Grass,,60,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Mix Fruit,,130,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Mix Veg,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Limonana,,90,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juices,,0,
GERMAN CAFE,Mushroom Tofu Moussaka With Mashed Potato,,200,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Moussaka,,0,
GERMAN CAFE,Tofu Egg plant Veg Moussaka,,190,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Moussaka,,0,
GERMAN CAFE,Special Mix Moussaka,,220,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Moussaka,,0,
GERMAN CAFE,Cauliflower Cheese Sauce,,210,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Moussaka,,0,
GERMAN CAFE,Veg Spinach Salad,,120,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
GERMAN CAFE,Avocado Veg Salad,,180,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
GERMAN CAFE,Feta Avocato Tomato Salad,,210,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
GERMAN CAFE,Four Bean Salad,,180,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
GERMAN CAFE,Italian Pasta Salad,,200,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
GERMAN CAFE,Greek Salad,,190,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
