restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,max_packaging_charge,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
GM AGENCIES,Dark Chocolate,,90,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dark Chocolates  ,,0,,2,6
GM AGENCIES,Cashew Dark Chocolate 100 Grams,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dark Chocolates  ,,0,,2,6
GM AGENCIES,Badam Dark Chocolate 100 Grams,,110,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dark Chocolates  ,,0,,2,6
GM AGENCIES,Resins Dark Chocolate 100 Grams,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dark Chocolates  ,,0,,2,6
GM AGENCIES,Dates Dark Chocolate 100 Grams,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dark Chocolates  ,,0,,2,1
GM AGENCIES,Brown Chocolate 100 Grams,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brown Chocolates  ,,0,,2,4
GM AGENCIES,Cashew Brown Chocolate 100 Grams,,110,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brown Chocolates  ,,0,,2,5
GM AGENCIES,Badam Brown  Chocolate 100 Grams,,120,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brown Chocolates  ,,0,,2,7
GM AGENCIES,Resins Brown Chocolate 100 Grams,,110,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brown Chocolates  ,,0,,2,2
GM AGENCIES,Dates Brown Chocolate 100 Grams,,110,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,White Chocolate 100 Grams,,110,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Cashew White Chocolate 100 Grams,,120,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Badam White  Chocolate 100 Grams,,120,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Resins White Chocolate 100 Grams,,120,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Dates White Chocolate 100 Grams,,120,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Assorted Chocolate 100 Grams,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Mixed Nuts Chocolate 100 Grams Assorted,,120,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,White Chocolates  ,,0,,2,2
GM AGENCIES,Niligiris Varkee,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks Items,,0,,2,2
GM AGENCIES,Niligiris Biscuit Sweet,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks Items,,0,,2,2
GM AGENCIES,Niligiris Biscuit Salt,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks Items,,0,,2,2
GM AGENCIES,CASHEWS W320 100 Grams,,85,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dry Fruits ,,0,,2,2
GM AGENCIES,CASHEWS W320 200 Grams,,165,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dry Fruits ,,0,,2,2
GM AGENCIES,CASHEWS W320 250 Grams,,200,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dry Fruits ,,0,,2,2
GM AGENCIES,CASHEWS W320 500 Grams,,390,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dry Fruits ,,0,,2,2
GM AGENCIES,Cardoman 25 Grams,,50,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Spices ,,0,,2,2
GM AGENCIES,Cardoman 500 Grams,,100,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Spices ,,0,,2,2
GM AGENCIES,Cardoman 100 Grams,,190,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Spices ,,0,,2,2
GM AGENCIES,Cardoman 200 Grams,,380,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Spices ,,0,,2,2
GM AGENCIES,Cardoman 250 Grams,,475,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Spices ,,0,,2,2
GM AGENCIES,Cardoman 500 Grams,,925,,,,0,Veg,,09:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Spices ,,0,,2,2
