restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
GOVA RESTO CAFE,Chicken Soup,,139,,,,0,Non Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
GOVA RESTO CAFE,Hot and Sour Soup,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
GOVA RESTO CAFE,Creamy Mushroom Soup,,139,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
GOVA RESTO CAFE,Tomato Soup,,89,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
GOVA RESTO CAFE,Veg Soup,,99,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
GOVA RESTO CAFE,Sweet Corn Soup,,109,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
GOVA RESTO CAFE,Chicken Mancho Soup,,149,,,,0,Non Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
GOVA RESTO CAFE,Chicken Briyani,,69,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani ,,0,,2,1
GOVA RESTO CAFE,Veg Briyani,,59,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani ,,0,,2,2
GOVA RESTO CAFE,White Sauce Pasta,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,2,3
GOVA RESTO CAFE,Red Sauce Pasta,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,2,4
GOVA RESTO CAFE,Corn Cheese Maggi Noodles,,79,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,5
GOVA RESTO CAFE,Veg Soup Noodles,,69,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,6
GOVA RESTO CAFE,Peanut Milkshake,,19,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,1
GOVA RESTO CAFE,Oreo Milkshake,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,2
GOVA RESTO CAFE,Choco Milkshake,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,3
GOVA RESTO CAFE,Vennila Milkshake,,109,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,4
GOVA RESTO CAFE,Green Apple Milkshake,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,5
GOVA RESTO CAFE,Strawberry Milkshake,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,6
GOVA RESTO CAFE,Almond Badam Milkshake,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,7
GOVA RESTO CAFE,Rose Milkshake,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,8
GOVA RESTO CAFE,Veg Sandwich,,99,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,4,1
GOVA RESTO CAFE,Veg Cheese Sandwich,,109,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,4,2
GOVA RESTO CAFE,Chicken Cheese Sandwich,,119,,,,0,Non Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,4,3
GOVA RESTO CAFE,Corn Cheese Sandwich,,129,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,4,4
GOVA RESTO CAFE,Choco Sandwich,,139,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,4,5
GOVA RESTO CAFE,Choco and Hoslenuts,,169,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,4,6
GOVA RESTO CAFE,Veg Spring Roll,,109,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Waffle & Ice Creams,,0,,5,1
GOVA RESTO CAFE,Paneer Spring Roll,,119,,,,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Waffle & Ice Creams,,0,,5,2
